model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v6,1,25300,6,0.00023715415019762845
1,gcard_v6,2,11034,8,0.0007250317201377561
1,gcard_v6,3,5159,9,0.001744524132583834
1,gcard_v6,4,3331,7,0.0021014710297208045
1,gcard_v6,5,2662,10,0.003756574004507889
1,gcard_v6,6,1411,19,0.013465627214741318
1,gcard_v6,7,78,2,0.02564102564102564
2,gcard_v6,1,13217,15,0.0011349020201255958
2,gcard_v6,2,14865,10,0.0006727211570803902
2,gcard_v6,3,8724,22,0.0025217790004585052
2,gcard_v6,4,5570,17,0.003052064631956912
2,gcard_v6,5,4182,27,0.006456241032998565
2,gcard_v6,6,2132,25,0.01172607879924953
2,gcard_v6,7,284,5,0.017605633802816902
3,gcard_v6,1,6789,5,0.0007364854912358227
3,gcard_v6,2,12597,28,0.0022227514487576407
3,gcard_v6,3,11777,20,0.0016982253545045427
3,gcard_v6,4,8363,25,0.002989357885926103
3,gcard_v6,5,5962,42,0.007044615900704461
3,gcard_v6,6,2915,46,0.015780445969125215
3,gcard_v6,7,571,14,0.024518388791593695
4,gcard_v6,1,2962,7,0.002363268062120189
4,gcard_v6,2,6986,14,0.002004008016032064
4,gcard_v6,3,11979,36,0.003005259203606311
4,gcard_v6,4,13148,57,0.004335260115606936
4,gcard_v6,5,9100,59,0.006483516483516484
4,gcard_v6,6,3985,85,0.02132998745294856
4,gcard_v6,7,814,33,0.04054054054054054
5,gcard_v6,1,685,1,0.00145985401459854
5,gcard_v6,2,3300,15,0.004545454545454545
5,gcard_v6,3,9731,51,0.005240982427294215
5,gcard_v6,4,14020,105,0.007489300998573466
5,gcard_v6,5,12933,142,0.010979664424340833
5,gcard_v6,6,6960,137,0.01968390804597701
5,gcard_v6,7,1346,43,0.03194650817236255
6,gcard_v6,1,20,1,0.05
6,gcard_v6,2,191,2,0.010471204188481676
6,gcard_v6,3,1602,31,0.019350811485642945
6,gcard_v6,4,4519,65,0.014383713210887364
6,gcard_v6,5,13867,274,0.019759140405278718
6,gcard_v6,6,22434,652,0.029063029330480522
6,gcard_v6,7,6299,308,0.04889665026194634
6,gcard_v6,8,42,5,0.11904761904761904
7,gcard_v6,1,2,0,0.0
7,gcard_v6,2,1,0,0.0
7,gcard_v6,3,2,0,0.0
7,gcard_v6,4,23,4,0.17391304347826086
7,gcard_v6,5,260,19,0.07307692307692308
7,gcard_v6,6,9006,438,0.04863424383744171
7,gcard_v6,7,31448,2542,0.08083184940218774
7,gcard_v6,8,8116,1011,0.12456875308033515
7,gcard_v6,9,116,17,0.14655172413793102
8,gcard_v6,5,7,0,0.0
8,gcard_v6,6,126,19,0.15079365079365079
8,gcard_v6,7,7973,1309,0.16417910447761194
8,gcard_v6,8,33414,6951,0.20802657568683786
8,gcard_v6,9,7425,1900,0.2558922558922559
8,gcard_v6,10,29,11,0.3793103448275862
9,gcard_v6,5,2,0,0.0
9,gcard_v6,6,5,1,0.2
9,gcard_v6,7,156,44,0.28205128205128205
9,gcard_v6,8,7342,2658,0.3620266957232362
9,gcard_v6,9,36497,16230,0.4446940844452969
9,gcard_v6,10,4972,2489,0.5006033789219629
10,gcard_v6,7,5,0,0.0
10,gcard_v6,8,60,29,0.48333333333333334
10,gcard_v6,9,4936,3278,0.6641004862236629
10,gcard_v6,10,43974,35324,0.8032928548687861
