decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,61,0.0012455334354262379,61,0.0012455334354262379,0.007946837260333668,76698,0.17400990997531582,1.1102298797670773
2,48974,0.09999938743381732,121,0.002470698738105934,182,0.001858109832668021,0.011855238913747373,76577,0.19545220192243884,1.2470374513229845
3,48974,0.09999938743381732,180,0.0036754196104055213,362,0.002463875635536982,0.015720187149061194,76397,0.22284872527857186,1.4218346156685682
4,48974,0.09999938743381732,291,0.005941928370155593,653,0.003333384380567339,0.021267886067981478,76106,0.2589996120416817,1.6524869656995183
5,48975,0.1000014293210929,494,0.010086778968861664,1147,0.004684079845796988,0.0298856852736507,75612,0.3087829918610207,1.9701182764625889
6,48974,0.09999938743381732,1338,0.027320619104014374,2485,0.0084568107103721,0.053956719703614736,74274,0.37914822585338215,2.4190673350892133
7,48974,0.09999938743381732,4031,0.08230898027524809,6516,0.01900705909806896,0.1212701330640783,70243,0.47809396758846473,3.0503676958881365
8,48974,0.09999938743381732,10190,0.20806958794462369,16706,0.0426397545648989,0.27205306634892695,60053,0.613104779017652,3.9117728708091812
9,48974,0.09999938743381732,21422,0.4374157716339282,38128,0.08650355742703644,0.5519158890161298,38631,0.7887901990811639,5.032692954163114
10,48975,0.1000014293210929,38631,0.7887901990811639,76759,0.15673322538555937,1.0,0,0.0,0.0
