decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,65382,0.1335051272731728,354,0.00541433422042764,354,0.00541433422042764,0.03454426914247072,76405,0.18005099540004524,1.1487525134674208
2,32679,0.06672806053898647,303,0.009272009547415772,657,0.0066999112797136474,0.042746444725169475,76102,0.19429983685370195,1.2396622715474521
3,48873,0.09979499075008065,279,0.005708673500705911,936,0.006370207031728531,0.040642881883252005,75823,0.2211872812135356,1.4112082228511267
4,49094,0.10024625613087922,446,0.009084613191021306,1382,0.007050013263411349,0.04498014819817212,75377,0.2566409947362328,1.6374082637365552
5,48899,0.09984808079488049,518,0.010593263665923638,1900,0.007757413433390357,0.049493468002292804,74859,0.3057878246945553,1.9509724532493042
6,48913,0.0998766677420804,1899,0.038824034510252896,3799,0.012928804791723387,0.0824877250338053,72960,0.37244632301142455,2.3762637287311845
7,48974,0.10000122515488,4681,0.09558132886837914,8480,0.024736446002788685,0.15782225728226937,68279,0.4647359106997005,2.9650852211546153
8,48973,0.09999918323008,10242,0.2091356461723807,18722,0.04778616952578825,0.30488297068151465,58037,0.5925347381747271,3.7804610204049274
9,48973,0.09999918323008,20814,0.4250096992220203,39536,0.08969960976495145,0.5722970425439197,37223,0.7600563564340262,4.849274217510147
10,48974,0.10000122515488,37223,0.7600563564340262,76759,0.15673610572269844,1.0,0,0.0,0.0
