decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,29,0.0008862809816325907,29,0.0008862809816325907,0.03700339014866554,7808,0.02651417394493419,1.1070014400474917
2,32720,0.09999847190599166,66,0.0020171149144254277,95,0.0014516893079262237,0.06060992726808728,7742,0.029576259531486376,1.234847518182978
3,32721,0.10000152809400835,87,0.0026588429448977722,182,0.0018540779527719483,0.07741017947387334,7655,0.033421671913134214,1.395398514525594
4,32720,0.09999847190599166,115,0.003514669926650367,297,0.002269219602389939,0.09474288630853643,7540,0.03840609607636395,1.6035047424609759
5,32721,0.10000152809400835,150,0.0045842119739616756,447,0.0027322237367285443,0.11407391447955383,7390,0.04517059693646777,1.8859315006503685
6,32720,0.09999847190599166,208,0.006356968215158924,655,0.0033363385848830755,0.13929649951086726,7182,0.054873855839611255,2.291055250733699
7,32720,0.09999847190599166,295,0.009015892420537897,950,0.004147692791309929,0.17317159879808158,6887,0.07015953220187038,2.929252230970141
8,32721,0.10000152809400835,517,0.01580025060358791,1467,0.005604284775599395,0.23398621921653695,6370,0.09733958833147416,4.064055123133853
9,32720,0.09999847190599166,1060,0.0323960880195599,2527,0.008581111367680418,0.3582726228227474,5310,0.16228110387824332,6.7754483341177245
10,32721,0.10000152809400835,5310,0.16228110387824332,7837,0.023951345486774345,1.0,0,0.0,0.0
