decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,21,0.0006417896763546347,21,0.0006417896763546347,0.026795558383516428,7816,0.026541340106763015,1.1081356628344254
2,32720,0.09999847190599166,35,0.001069682151589242,56,0.0008557326446723002,0.03572795712645145,7781,0.02972524869729986,1.2410680107183873
3,32721,0.10000152809400835,57,0.001742000550105437,113,0.0011511582893584075,0.048062364178833444,7724,0.03372292538955567,1.407976241175139
4,32720,0.09999847190599166,96,0.00293398533007335,209,0.001596858238718846,0.06667091999489601,7628,0.038854336985478015,1.6222193866700694
5,32721,0.10000152809400835,148,0.004523089147642187,357,0.002182111574971119,0.09110601223534835,7480,0.04572071246072786,1.9088995432834581
6,32720,0.09999847190599166,210,0.006418092909535452,567,0.0028880976757690133,0.12058185530177364,7270,0.055546217203282344,2.3191272170473396
7,32720,0.09999847190599166,336,0.010268948655256724,903,0.003942491147950385,0.16460416180491333,6934,0.07063833255231149,2.9492427718232843
8,32721,0.10000152809400835,556,0.016992145716817945,1459,0.005573722895432527,0.23271022074773512,6378,0.09746183585214162,4.069159117009059
9,32720,0.09999847190599166,1146,0.035024449877750614,2605,0.00884598144551147,0.36933129499535294,5232,0.15989731365178325,6.675921974407521
10,32721,0.10000152809400835,5232,0.15989731365178325,7837,0.023951345486774345,1.0,0,0.0,0.0
