decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,32,0.0009779652211118243,32,0.0009779652211118243,0.040831327060596466,7805,0.02650398663424838,1.1065761065023914
2,32720,0.09999847190599166,56,0.0017114914425427872,88,0.001344722727342186,0.056143932627280846,7749,0.029603001176632386,1.2359640168431798
3,32721,0.10000152809400835,84,0.0025671587054185386,172,0.0017522055377844788,0.07315687290937481,7665,0.03346533183725327,1.3972213734603107
4,32720,0.09999847190599166,110,0.0033618581907090463,282,0.0021546125517641844,0.08995789205052954,7555,0.03848250077678112,1.6066947386329804
5,32721,0.10000152809400835,149,0.004553650560801931,431,0.0026344260190827797,0.10999073185836174,7406,0.04526839525189179,1.8900147082295844
6,32720,0.09999847190599166,216,0.006601466992665036,647,0.0032955894113272516,0.13759516821913148,7190,0.05493497959994499,2.293607247671303
7,32720,0.09999847190599166,295,0.009015892420537897,942,0.004112764852014688,0.17171331165030826,6895,0.07024103013386035,2.93265487622174
8,32721,0.10000152809400835,528,0.0161364261483451,1470,0.00561574548066197,0.23446471864233764,6367,0.09729374551122386,4.062141125430649
9,32720,0.09999847190599166,1042,0.031845965770171146,2512,0.00853017481425137,0.35614595509724634,5325,0.1627395250756395,6.79458801867738
10,32721,0.10000152809400835,5325,0.1627395250756395,7837,0.023951345486774345,1.0,0,0.0,0.0
