decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1050,0.06459948320413436,1050,0.06459948320413436,0.15234425584042235,67872,0.4639741871975062,1.0941852592598629
2,16254,0.1000012304814874,1956,0.12033960871170174,3006,0.09246954595791805,0.2180699205030046,65916,0.5069291701914943,1.195485526603771
3,16254,0.1000012304814874,2902,0.17854066691275994,5908,0.12115991960953201,0.2857301153984811,63014,0.5538426381662214,1.3061210458527217
4,16253,0.09999507807405038,3902,0.24007875469144158,9810,0.15088825655617935,0.3558381277985009,59112,0.6061339376352245,1.4294390463909072
5,16254,0.1000012304814874,5282,0.3249661621754645,15092,0.18570426607931684,0.4379443428803575,53830,0.6623681846706616,1.5620556571196424
6,16254,0.1000012304814874,6821,0.4196505475575243,21913,0.2246957128062098,0.5298974459257673,47009,0.7230485272629393,1.7051574464505328
7,16253,0.09999507807405038,8671,0.5335015074140159,30584,0.26880888763886934,0.6339290644358339,38338,0.7862269800254297,1.8541505017174964
8,16254,0.1000012304814874,10510,0.6466100652147164,41094,0.3160347612089518,0.7453013263889702,27828,0.8560354374307863,2.018779024536797
9,16254,0.1000012304814874,12760,0.7850375292235757,53854,0.3681468923463947,0.8681967962072821,15068,0.9270333456379968,2.1862126161937945
10,16254,0.1000012304814874,15068,0.9270333456379968,68922,0.42403622537498925,1.0,0,0.0,0.0
