split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.016449
DEV,ks,gcard_v2,0.034435
DEV,auc,gcard_v4,0.020781
DEV,ks,gcard_v4,0.0403
DEV,auc,gcard_v5,0.019287
DEV,ks,gcard_v5,0.038804
DEV,auc,gcard_v6,0.00893
DEV,ks,gcard_v6,0.017664
DEV-OOS,auc,gcard_v2,0.006568
DEV-OOS,ks,gcard_v2,0.013136
DEV-OOS,auc,gcard_v4,0.011015
DEV-OOS,ks,gcard_v4,0.023081
DEV-OOS,auc,gcard_v5,0.00925
DEV-OOS,ks,gcard_v5,0.016364
DEV-OOS,auc,gcard_v6,-0.001063
DEV-OOS,ks,gcard_v6,-0.00273
OOT,auc,gcard_v2,0.005928
OOT,ks,gcard_v2,0.015436
OOT,auc,gcard_v4,0.011346
OOT,ks,gcard_v4,0.023258
OOT,auc,gcard_v5,0.006844
OOT,ks,gcard_v5,0.018217
OOT,auc,gcard_v6,-0.001367
OOT,ks,gcard_v6,-0.000819
OOT-OOS,auc,gcard_v2,0.008355
OOT-OOS,ks,gcard_v2,0.017453
OOT-OOS,auc,gcard_v4,0.012384
OOT-OOS,ks,gcard_v4,0.029738
OOT-OOS,auc,gcard_v5,0.009189
OOT-OOS,ks,gcard_v5,0.025131
OOT-OOS,auc,gcard_v6,-4.4e-05
OOT-OOS,ks,gcard_v6,0.00177
