intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,6,1.8e-05,0,0.0
低意愿,2,108,0.00033,0,0.0
低意愿,3,652,0.001993,2,0.003067
低意愿,4,1823,0.005571,0,0.0
低意愿,5,4328,0.013227,7,0.001617
低意愿,6,48510,0.148256,89,0.001835
低意愿,7,53642,0.16394,119,0.002218
中意愿,1,293,0.000895,1,0.003413
中意愿,2,1394,0.00426,7,0.005022
中意愿,3,4806,0.014688,21,0.00437
中意愿,4,5660,0.017298,24,0.00424
中意愿,5,17132,0.052359,87,0.005078
中意愿,6,61006,0.186446,345,0.005655
中意愿,7,18777,0.057386,134,0.007136
高意愿,1,4912,0.015012,433,0.088151
高意愿,2,11877,0.036298,837,0.070472
高意愿,3,17566,0.053685,1046,0.059547
高意愿,4,11567,0.035351,579,0.050056
高意愿,5,25024,0.076478,1312,0.05243
高意愿,6,33486,0.10234,2243,0.066983
高意愿,7,4636,0.014168,551,0.118852
