intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1658,0.010201,223,0.134499
低意愿,2,7802,0.048001,957,0.122661
低意愿,3,14485,0.089118,1825,0.125992
低意愿,4,15855,0.097546,2099,0.132387
低意愿,5,2616,0.016095,373,0.142584
低意愿,6,10450,0.064293,1492,0.142775
低意愿,7,1313,0.008078,156,0.118812
中意愿,1,2424,0.014913,851,0.351073
中意愿,2,8164,0.050228,2984,0.365507
中意愿,3,11445,0.070414,4197,0.36671
中意愿,4,13998,0.086121,5320,0.380054
中意愿,5,2589,0.015929,987,0.381228
中意愿,6,12398,0.076278,4788,0.386191
中意愿,7,3161,0.019448,1218,0.385321
高意愿,1,2178,0.0134,1613,0.740588
高意愿,2,8052,0.049539,6202,0.770243
高意愿,3,11134,0.068501,8523,0.765493
高意愿,4,14257,0.087715,11015,0.772603
高意愿,5,2491,0.015326,1896,0.76114
高意愿,6,12006,0.073866,9123,0.75987
高意愿,7,4062,0.024991,3080,0.758247
