intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1587,3,0.00189
低意愿,2,7728,15,0.001941
低意愿,3,14437,34,0.002355
低意愿,4,15911,46,0.002891
低意愿,5,2632,12,0.004559
低意愿,6,10544,26,0.002466
低意愿,7,1340,0,0.0
中意愿,1,2514,14,0.005569
中意愿,2,8243,69,0.008371
中意愿,3,11483,109,0.009492
中意愿,4,13941,97,0.006958
中意愿,5,2539,17,0.006696
中意愿,6,12313,112,0.009096
中意愿,7,3147,20,0.006355
高意愿,1,2159,41,0.01899
高意愿,2,8047,257,0.031937
高意愿,3,11144,333,0.029882
高意愿,4,14258,438,0.03072
高意愿,5,2525,82,0.032475
高意愿,6,11997,289,0.024089
高意愿,7,4049,65,0.016053
