final_flag,n_samples,positive,bad_rate,segment,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks,ks_uplift_vs_gcard_v2,ks_uplift_vs_gcard_v4,ks_uplift_vs_gcard_v5,ks_uplift_vs_gcard_v6
DEV,183739,28148,0.153196,全客群,0.9454782172964716,0.7486010109781718,0.9292738715628627,0.7141907302495427,0.9249416979738968,0.7083259362789369,0.9264364529498273,0.7098220167032866,0.9367935709699249,0.7309617590542226,0.03441,0.040275,0.038779,0.017639
DEV-OOS,183480,31827,0.173463,全客群,0.9324850770704717,0.7164854495218125,0.9259370733597045,0.7038200456930981,0.9214899812666204,0.6938746177024521,0.9232550020882132,0.7005919404477734,0.9335679118809683,0.7196854443216948,0.012665,0.022611,0.015894,-0.0032
OOT,61173,7895,0.12906,全客群,0.9342264543732648,0.7328735545395605,0.9285148934521257,0.7175553288836849,0.9230971405757591,0.709733538253707,0.927598438636577,0.7147744925639008,0.9358097729687774,0.7338111461952732,0.015318,0.02314,0.018099,-0.000938
OOT-OOS,61351,8889,0.144888,全客群,0.9300969438007831,0.7185632230796077,0.9215022547363674,0.700376267362946,0.9174731623111531,0.6880913602578937,0.920668484305301,0.6926983163196526,0.9299017438800257,0.7160591761902659,0.018187,0.030472,0.025865,0.002504
DEV,60445,25414,0.420448,老户次新,0.8498205426509585,0.5371222294185525,0.7973409024083902,0.4504584125324433,0.8043563471445477,0.4647123540537347,0.785301087255869,0.42972840431293946,0.8176628033401088,0.479637310615104,0.086664,0.07241,0.107394,0.057485
DEV-OOS,65685,28713,0.437132,老户次新,0.8186666888299192,0.4866951502142328,0.7991887734244861,0.4551098004937303,0.8052709558611817,0.46760552194160315,0.787554360774624,0.4370446526878337,0.8198878385496651,0.48479410777306986,0.031585,0.01909,0.04965,0.001901
OOT,17304,6982,0.403491,老户次新,0.7958367604110129,0.4528820504532068,0.7757497067736454,0.41484648597358936,0.7809175805185877,0.42497673453885426,0.774371295557747,0.41447768005985,0.799163941979184,0.4540764468058618,0.038036,0.027905,0.038404,-0.001194
OOT-OOS,19104,7813,0.408972,老户次新,0.7932719520546381,0.43911522848260853,0.7682455700833493,0.403852061916578,0.7769720518419989,0.4171174709861523,0.7656526721285498,0.40201719216442555,0.792074558136082,0.4363074230612628,0.035263,0.021998,0.037098,0.002808
DEV,53867,23506,0.436371,老户,0.8525172023618129,0.5414030426398571,0.7985785915216841,0.4499805563090255,0.8080916386693597,0.4670502111558776,0.7882833850661943,0.43320372371675786,0.8200805550592369,0.48367518075333615,0.091422,0.074353,0.108199,0.057728
DEV-OOS,57720,26310,0.455821,老户,0.8215212299268717,0.4892517652833002,0.8011480857158565,0.45567831239533524,0.8097955002504243,0.4716104037635176,0.7899265879563226,0.4391401905936021,0.8231462785868924,0.4888337096052249,0.033573,0.017641,0.050112,0.000418
OOT,15920,6569,0.412626,老户,0.7984245259786706,0.4561773517481863,0.7777522758459555,0.4175052227679619,0.7851350891783753,0.4309251483869747,0.777658521855937,0.42014505121134665,0.8021652759933345,0.4566032413354195,0.038672,0.025252,0.036032,-0.000426
OOT-OOS,16850,7106,0.421721,老户,0.7978400009566604,0.4462405032958572,0.7717421587286181,0.40619282195636874,0.7826769174919597,0.42540792096412894,0.7709661234152133,0.410134628013885,0.7971563873033127,0.441073438944956,0.040048,0.020833,0.036106,0.005167
DEV,6578,1908,0.290058,次新,0.7981027702584407,0.4576221387239124,0.7431726110733883,0.3694387605292617,0.7288250979758394,0.36167988723239014,0.7036730278013459,0.30577844217293126,0.762950991879116,0.39265865801157307,0.088183,0.095942,0.151844,0.064963
DEV-OOS,7965,2403,0.301695,次新,0.7578350312139791,0.3936887143497812,0.7368053755538546,0.35760210289422406,0.7231099939051973,0.3519326569942911,0.7129132827642781,0.31960453963290225,0.7584329518582416,0.38489105446670624,0.036087,0.041756,0.074084,0.008798
OOT,1384,413,0.29841,次新,0.7329080875660499,0.36261760547400024,0.7014361280890207,0.3282890328344874,0.6834196542342958,0.311847450146251,0.6937058472955417,0.29934692025145687,0.7303720734222227,0.37861419419833775,0.034329,0.05077,0.063271,-0.015997
OOT-OOS,2254,707,0.313665,次新,0.7322435447903455,0.3537219914622361,0.7085106979351583,0.33847986545828274,0.6998959522879982,0.31350361926949,0.6904553138848838,0.2937656403002938,0.7284976442976275,0.3436609982911672,0.015242,0.040218,0.059956,0.010061
DEV,123294,2734,0.022175,流失户,0.8973838952724399,0.6387534713643087,0.8734343831711789,0.5887483165421046,0.8016159587800636,0.5199267944410115,0.8817727600992977,0.606399627876542,0.8910821752208301,0.6290384690998214,0.050005,0.118827,0.032354,0.009715
DEV-OOS,117795,3114,0.026436,流失户,0.885042551672348,0.6215533970338666,0.8817472488378447,0.6020930284383287,0.8133745791683232,0.5454955640423786,0.8881070658836911,0.6126883185172495,0.895774084833024,0.6300359702651095,0.01946,0.076058,0.008865,-0.008483
OOT,43869,913,0.020812,流失户,0.876767837121497,0.6079362187977672,0.8721279292894586,0.5792957886720903,0.8056154948573886,0.5330857594035787,0.8786900006292896,0.6030768436017517,0.887747130026425,0.6183997645212652,0.02864,0.07485,0.004859,-0.010464
OOT-OOS,42247,1076,0.025469,流失户,0.899794844225268,0.6492939186721371,0.8854978970141936,0.6205425324138827,0.8330924884850466,0.5882590365634196,0.8922088841723597,0.6315029012643704,0.9022303184858076,0.6508203296451766,0.028751,0.061035,0.017791,-0.001526
