model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v5,1,19485,3,0.00015396458814472672
1,gcard_v5,2,10650,5,0.00046948356807511736
1,gcard_v5,3,7692,10,0.0013000520020800832
1,gcard_v5,4,5311,2,0.0003765769158350593
1,gcard_v5,5,3405,12,0.003524229074889868
1,gcard_v5,6,1619,9,0.005558987029030266
1,gcard_v5,7,780,9,0.011538461538461539
1,gcard_v5,8,33,0,0.0
2,gcard_v5,1,14105,6,0.00042538107054236086
2,gcard_v5,2,12212,14,0.0011464133639043563
2,gcard_v5,3,8293,12,0.0014470034969251175
2,gcard_v5,4,6644,16,0.002408187838651415
2,gcard_v5,5,4372,17,0.003888380603842635
2,gcard_v5,6,2099,15,0.007146260123868509
2,gcard_v5,7,1151,16,0.013900955690703735
2,gcard_v5,8,98,2,0.02040816326530612
3,gcard_v5,1,9272,11,0.001186367558239862
3,gcard_v5,2,11802,12,0.0010167768174885613
3,gcard_v5,3,9622,20,0.0020785699438786117
3,gcard_v5,4,8230,21,0.002551640340218712
3,gcard_v5,5,5762,36,0.006247830614370011
3,gcard_v5,6,2558,31,0.012118842845973418
3,gcard_v5,7,1546,26,0.016817593790426907
3,gcard_v5,8,182,2,0.01098901098901099
4,gcard_v5,1,4251,4,0.0009409550693954364
4,gcard_v5,2,8875,27,0.0030422535211267606
4,gcard_v5,3,11167,31,0.002776036536222799
4,gcard_v5,4,10170,42,0.004129793510324484
4,gcard_v5,5,8288,53,0.006394787644787645
4,gcard_v5,6,3745,48,0.01281708945260347
4,gcard_v5,7,2166,58,0.02677746999076639
4,gcard_v5,8,312,3,0.009615384615384616
5,gcard_v5,1,1996,14,0.0070140280561122245
5,gcard_v5,2,4303,18,0.004183128050197537
5,gcard_v5,3,9249,42,0.0045410314628608495
5,gcard_v5,4,11154,74,0.006634391249775865
5,gcard_v5,5,11375,114,0.010021978021978023
5,gcard_v5,6,6712,108,0.016090584028605484
5,gcard_v5,7,3411,97,0.028437408384637937
5,gcard_v5,8,775,23,0.02967741935483871
6,gcard_v5,1,355,4,0.011267605633802818
6,gcard_v5,2,800,18,0.0225
6,gcard_v5,3,2727,38,0.013934726806013934
6,gcard_v5,4,7287,147,0.020172910662824207
6,gcard_v5,5,12306,259,0.02104664391353811
6,gcard_v5,6,15823,401,0.025342855337167413
6,gcard_v5,7,7283,265,0.03638610462721406
6,gcard_v5,8,2324,119,0.05120481927710843
6,gcard_v5,9,69,3,0.043478260869565216
7,gcard_v5,1,1,0,0.0
7,gcard_v5,2,2,1,0.5
7,gcard_v5,3,64,7,0.109375
7,gcard_v5,4,178,18,0.10112359550561797
7,gcard_v5,5,3361,199,0.059208568878310025
7,gcard_v5,6,13978,932,0.06667620546573186
7,gcard_v5,7,19236,1467,0.07626325639426076
7,gcard_v5,8,10574,1088,0.10289389067524116
7,gcard_v5,9,1533,162,0.10567514677103718
7,gcard_v5,10,47,3,0.06382978723404255
8,gcard_v5,5,106,27,0.25471698113207547
8,gcard_v5,6,2374,413,0.17396798652064027
8,gcard_v5,7,11509,2089,0.18151012251281606
8,gcard_v5,8,22510,4496,0.19973345179920035
8,gcard_v5,9,11685,2606,0.2230209670517758
8,gcard_v5,10,790,168,0.21265822784810126
9,gcard_v5,6,66,32,0.48484848484848486
9,gcard_v5,7,1802,683,0.379023307436182
9,gcard_v5,8,10742,4445,0.41379631353565444
9,gcard_v5,9,25735,11342,0.44072275111715564
9,gcard_v5,10,10629,5000,0.4704111393357795
10,gcard_v5,7,90,66,0.7333333333333333
10,gcard_v5,8,1424,999,0.7015449438202247
10,gcard_v5,9,9952,7517,0.7553255627009646
10,gcard_v5,10,37509,30682,0.8179903489829108
