decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,50,0.0010209290454313426,50,0.0010209290454313426,0.006513801033060384,76709,0.17403486641498475,1.1103891085432833
2,48974,0.09999938743381732,98,0.0020010617878874503,148,0.0015109904133783908,0.009640523951838524,76611,0.1955389822202484,1.2475911328898386
3,48974,0.09999938743381732,159,0.0032466206558582106,307,0.002089529889806225,0.013331760924756315,76452,0.2230091593255936,1.4228582279028412
4,48974,0.09999938743381732,266,0.005431453424265937,573,0.0029250065085223357,0.018662325753374252,76186,0.25927186349312226,1.6542240029535582
5,48975,0.1000014293210929,490,0.010005104645227157,1063,0.004341043483942631,0.02769702131289511,75696,0.30912602962376107,1.9723069493613727
6,48974,0.09999938743381732,1254,0.025605423285825133,2317,0.007885082662346943,0.050308941470130916,74442,0.38000581938467665,2.4245390117498884
7,48974,0.09999938743381732,3877,0.07916445460856782,6194,0.018067790677323378,0.11527734871069689,70565,0.48028559177256114,3.064350845783158
8,48974,0.09999938743381732,9799,0.20008575979090945,15993,0.040819920672598355,0.2604420381969585,60766,0.6203840774280492,3.9582167463339166
9,48974,0.09999938743381732,21502,0.4390492914607751,37495,0.08506742776245099,0.5427529967126465,39264,0.8017151607963247,5.115157675241658
10,48975,0.1000014293210929,39264,0.8017151607963247,76759,0.15673322538555937,1.0,0,0.0,0.0
