decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,65336,0.1996845927211824,354,0.005418146198114363,354,0.005418146198114363,0.2262084679645562,7483,0.028576338501489346,1.1930666903577016
2,108,0.0003300773848091052,1,0.009259259259259259,355,0.005424485055925677,0.22647311628922517,7482,0.028584308811393993,1.1933994520674835
3,32721,0.1000042787809142,303,0.009260108187402586,658,0.006703000050934651,0.27985132125374684,7179,0.031345101754784284,1.3086629977999742
4,33944,0.10374209953666916,156,0.004595804855055385,814,0.006161578696379504,0.25724689334446704,7023,0.03599932337880023,1.502977492950098
5,32082,0.09805132092079365,301,0.009382208091764852,1115,0.006790871606848122,0.2835199727286306,6722,0.04123799883439158,1.7216930287887695
6,32127,0.09818885316446412,278,0.008653157780060386,1393,0.007095630558583523,0.29624370757257806,6444,0.04923669371475725,2.055639815834339
7,32722,0.10000733505299576,285,0.008709736568669397,1678,0.0073262312259867275,0.3058713222174242,6159,0.06274705570724154,2.61969958392071
8,32797,0.1002365554591132,473,0.014422050797329024,2151,0.008215034544392121,0.3429790025248085,5686,0.08699643507397604,3.6321150402532427
9,32639,0.0997536644702258,1755,0.05377002971904776,3906,0.013264238851383474,0.553784087688818,3931,0.12014058679706602,5.0158886611781055
10,32720,0.10000122250883263,3931,0.12014058679706602,7837,0.023952004303231092,1.0,0,0.0,0.0
