decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,956,0.05881629137443091,956,0.05881629137443091,0.1387058176985179,67966,0.4646167728528069,1.0957006619939862
2,16254,0.1000012304814874,1812,0.11148025101513473,2768,0.08514827119478283,0.20080423817442342,66154,0.5087595170345305,1.1998020135770655
3,16254,0.1000012304814874,2726,0.16771256306140028,5494,0.11266970181698864,0.26570772748802557,63428,0.5574813668963577,1.3147022200835754
4,16253,0.09999507807405038,3739,0.23004983695317788,9233,0.14201338152733983,0.3349086069279876,59689,0.6120504906534868,1.4433919887675406
5,16254,0.1000012304814874,5095,0.3134613018333949,14328,0.17630338751553482,0.4157743536171324,54594,0.6717690632344436,1.5842256463828674
6,16254,0.1000012304814874,6814,0.4192198843361634,21142,0.21678988546291644,0.5112532196304738,47780,0.7349073290779051,1.73312392927751
7,16253,0.09999507807405038,8771,0.5396542176828893,29913,0.26291133455210236,0.6200209293901746,39009,0.7999876953365326,1.8866022463742975
8,16254,0.1000012304814874,10776,0.6629752676264304,40689,0.3129200953626086,0.7379560439344139,28233,0.8684939091915836,2.0481597024488787
9,16254,0.1000012304814874,13042,0.8023871047126861,53731,0.36730606218041617,0.8662138756083758,15191,0.9346007136704811,2.204058657592244
10,16254,0.1000012304814874,15191,0.9346007136704811,68922,0.42403622537498925,1.0,0,0.0,0.0
