intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,142,0.00029,0,0.0
低意愿,2,423,0.000864,0,0.0
低意愿,3,2052,0.00419,4,0.001949
低意愿,4,3881,0.007925,3,0.000773
低意愿,5,10509,0.021458,20,0.001903
低意愿,6,79816,0.162975,187,0.002343
低意愿,7,66425,0.135632,164,0.002469
中意愿,1,4005,0.008178,137,0.034207
中意愿,2,12725,0.025983,409,0.032141
中意愿,3,22955,0.046872,739,0.032193
中意愿,4,18674,0.03813,560,0.029988
中意愿,5,33984,0.069391,682,0.020068
中意愿,6,61358,0.125286,1277,0.020812
中意愿,7,9546,0.019492,249,0.026084
高意愿,1,7324,0.014955,2984,0.407428
高意愿,2,24249,0.049514,10578,0.436224
高意愿,3,35081,0.071631,14871,0.423905
高意愿,4,40605,0.082911,18474,0.454969
高意愿,5,9687,0.01978,3960,0.408795
高意愿,6,36682,0.074901,16616,0.452974
高意愿,7,9620,0.019643,4845,0.503638
