intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,70,0.000214,0,0.0
低意愿,2,122,0.000373,0,0.0
低意愿,3,741,0.002265,1,0.00135
低意愿,4,1978,0.006045,0,0.0
低意愿,5,4427,0.01353,5,0.001129
低意愿,6,48715,0.148882,74,0.001519
低意愿,7,53015,0.162024,94,0.001773
中意愿,1,240,0.000733,0,0.0
中意愿,2,1455,0.004447,8,0.005498
中意愿,3,4948,0.015122,20,0.004042
中意愿,4,5913,0.018071,24,0.004059
中意愿,5,17283,0.05282,79,0.004571
中意愿,6,60120,0.183738,313,0.005206
中意愿,7,19109,0.058401,146,0.00764
高意愿,1,4901,0.014978,434,0.088553
高意愿,2,11802,0.036069,836,0.070835
高意愿,3,17335,0.052979,1048,0.060456
高意愿,4,11159,0.034104,579,0.051886
高意愿,5,24774,0.075714,1322,0.053362
高意愿,6,34167,0.104421,2290,0.067024
高意愿,7,4931,0.01507,564,0.114378
