intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,142,0,0.0
低意愿,2,423,0,0.0
低意愿,3,2052,0,0.0
低意愿,4,3881,0,0.0
低意愿,5,10509,0,0.0
低意愿,6,79816,2,2.5e-05
低意愿,7,66425,0,0.0
中意愿,1,4005,0,0.0
中意愿,2,12725,8,0.000629
中意愿,3,22955,12,0.000523
中意愿,4,18674,12,0.000643
中意愿,5,33984,13,0.000383
中意愿,6,61358,11,0.000179
中意愿,7,9546,1,0.000105
高意愿,1,7324,63,0.008602
高意愿,2,24249,345,0.014227
高意愿,3,35081,479,0.013654
高意愿,4,40605,573,0.014112
高意愿,5,9687,115,0.011872
高意愿,6,36682,432,0.011777
高意愿,7,9620,86,0.00894
