intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1666,3,0.001801
低意愿,2,7727,14,0.001812
低意愿,3,14357,31,0.002159
低意愿,4,15830,41,0.00259
低意愿,5,2597,10,0.003851
低意愿,6,10585,25,0.002362
低意愿,7,1417,1,0.000706
中意愿,1,2417,15,0.006206
中意愿,2,8257,67,0.008114
中意愿,3,11550,112,0.009697
中意愿,4,13974,100,0.007156
中意愿,5,2596,22,0.008475
中意愿,6,12261,108,0.008808
中意愿,7,3124,17,0.005442
高意愿,1,2177,40,0.018374
高意愿,2,8034,260,0.032362
高意愿,3,11157,333,0.029847
高意愿,4,14306,440,0.030756
高意愿,5,2503,79,0.031562
高意愿,6,12008,294,0.024484
高意愿,7,3995,67,0.016771
