model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v5,1,19504,4,0.00020508613617719443
1,gcard_v5,2,11060,10,0.0009041591320072332
1,gcard_v5,3,7615,7,0.0009192383453709783
1,gcard_v5,4,5270,8,0.0015180265654648956
1,gcard_v5,5,3273,11,0.003360831041857623
1,gcard_v5,6,1509,11,0.00728959575878065
1,gcard_v5,7,717,5,0.00697350069735007
1,gcard_v5,8,27,0,0.0
2,gcard_v5,1,14316,6,0.00041911148365465214
2,gcard_v5,2,11955,10,0.000836470096194061
2,gcard_v5,3,8283,14,0.0016902088615236026
2,gcard_v5,4,6687,12,0.001794526693584567
2,gcard_v5,5,4397,21,0.0047759836251989995
2,gcard_v5,6,2068,9,0.004352030947775629
2,gcard_v5,7,1174,17,0.014480408858603067
2,gcard_v5,8,94,2,0.02127659574468085
3,gcard_v5,1,9282,9,0.0009696186166774402
3,gcard_v5,2,12077,13,0.001076426264800861
3,gcard_v5,3,9446,22,0.0023290281600677537
3,gcard_v5,4,8223,21,0.002553812477198103
3,gcard_v5,5,5589,32,0.0057255322955806045
3,gcard_v5,6,2543,30,0.011797090051120724
3,gcard_v5,7,1620,43,0.02654320987654321
3,gcard_v5,8,194,3,0.015463917525773196
4,gcard_v5,1,4097,7,0.001708567244325116
4,gcard_v5,2,8672,21,0.002421586715867159
4,gcard_v5,3,11620,29,0.0024956970740103272
4,gcard_v5,4,10260,48,0.004678362573099415
4,gcard_v5,5,8172,54,0.006607929515418502
4,gcard_v5,6,3694,54,0.014618299945858148
4,gcard_v5,7,2147,53,0.024685607824871916
4,gcard_v5,8,312,4,0.01282051282051282
5,gcard_v5,1,1967,11,0.005592272496187087
5,gcard_v5,2,4199,23,0.005477494641581329
5,gcard_v5,3,9178,47,0.005120941381564611
5,gcard_v5,4,11209,74,0.00660183780890356
5,gcard_v5,5,11652,116,0.009955372468245795
5,gcard_v5,6,6661,109,0.016363909322924485
5,gcard_v5,7,3336,86,0.02577937649880096
5,gcard_v5,8,773,21,0.027166882276843468
6,gcard_v5,1,297,5,0.016835016835016835
6,gcard_v5,2,675,15,0.022222222222222223
6,gcard_v5,3,2597,33,0.012706969580284944
6,gcard_v5,4,7152,133,0.01859619686800895
6,gcard_v5,5,12517,248,0.019813054246225134
6,gcard_v5,6,16068,392,0.02439631565845158
6,gcard_v5,7,7348,270,0.036744692433315185
6,gcard_v5,8,2267,130,0.05734450816056462
6,gcard_v5,9,53,2,0.03773584905660377
7,gcard_v5,1,2,0,0.0
7,gcard_v5,2,6,3,0.5
7,gcard_v5,3,75,8,0.10666666666666667
7,gcard_v5,4,173,24,0.13872832369942195
7,gcard_v5,5,3282,210,0.06398537477148081
7,gcard_v5,6,14099,958,0.06794808142421448
7,gcard_v5,7,19243,1494,0.07763862183651198
7,gcard_v5,8,10583,1126,0.10639705187564963
7,gcard_v5,9,1478,164,0.11096075778078485
7,gcard_v5,10,33,1,0.030303030303030304
8,gcard_v5,5,93,25,0.26881720430107525
8,gcard_v5,6,2275,398,0.17494505494505494
8,gcard_v5,7,11570,2083,0.18003457216940363
8,gcard_v5,8,22672,4598,0.20280522230063514
8,gcard_v5,9,11651,2707,0.23234057162475324
8,gcard_v5,10,713,158,0.22159887798036465
9,gcard_v5,6,57,28,0.49122807017543857
9,gcard_v5,7,1742,666,0.3823191733639495
9,gcard_v5,8,10663,4327,0.40579574228641097
9,gcard_v5,9,25832,11315,0.43802260761845774
9,gcard_v5,10,10680,5098,0.47734082397003746
10,gcard_v5,7,77,59,0.7662337662337663
10,gcard_v5,8,1389,966,0.6954643628509719
10,gcard_v5,9,9960,7442,0.7471887550200803
10,gcard_v5,10,37549,30596,0.8148286239313963
