decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,34103,0.10422517993306948,21,0.0006157816027915433,21,0.0006157816027915433,0.025709687296338768,7816,0.02666648470498325,1.113360613486544
2,31344,0.09579315719503063,48,0.0015313935681470138,69,0.0010542882026678075,0.04401791136326655,7768,0.029676265863889547,1.2390229133589357
3,32716,0.09998624715392491,68,0.002078493703386722,137,0.0013956378676283324,0.058269706326059524,7700,0.03361828834886178,1.4036075078715478
4,32719,0.09999541571797498,94,0.002872948439744491,231,0.0017649485796366192,0.0736889115733061,7606,0.038742276758199495,1.6175407256177958
5,32721,0.10000152809400835,167,0.005103755997677333,398,0.0024327182264383906,0.10156916770215307,7439,0.04547010427745382,1.8984363238617172
6,32720,0.09999847190599166,205,0.006265281173594132,603,0.0030714689567702207,0.12823784611458466,7234,0.055271160281780536,2.307643230828123
7,32720,0.09999847190599166,357,0.010910757946210268,960,0.0041913527154289806,0.17499445773279823,6877,0.07005765978688291,2.924998924405643
8,32721,0.10000152809400835,663,0.02026221692491061,1623,0.006200241438853318,0.25886818935817274,6214,0.09495576167845846,3.964527242567309
9,32720,0.09999847190599166,1263,0.038600244498777504,2886,0.009800192879748985,0.40917087038640637,4951,0.15130955655389505,6.317371883656659
10,32721,0.10000152809400835,4951,0.15130955655389505,7837,0.023951345486774345,1.0,0,0.0,0.0
