decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,984,0.060538944259874494,984,0.060538944259874494,0.14276833118759583,67938,0.4644253643597386,1.0952492654348855
2,16254,0.1000012304814874,1866,0.11480251015134736,2850,0.08767072720561092,0.2067529186405732,66072,0.5081288933323079,1.1983148205862666
3,16254,0.1000012304814874,2753,0.16937369262950658,5603,0.11490504901357615,0.2709793223726624,63319,0.5565233441147518,1.3124429254189305
4,16253,0.09999507807405038,3870,0.2381098874054021,9473,0.14570483734522802,0.3436141268741283,59449,0.6095895327256134,1.437588338558889
5,16254,0.1000012304814874,5116,0.31475329149747755,14589,0.17951494419766453,0.4233481326717158,54333,0.6685575065523139,1.576651867328284
6,16254,0.1000012304814874,6839,0.4207579672695952,21428,0.21972252699363226,0.5181692361291169,47494,0.7305083442282551,1.7227498513416923
7,16253,0.09999507807405038,8696,0.5350396849812342,30124,0.2647658557164956,0.6243944264015518,38798,0.7956605553504779,1.8763975993957802
8,16254,0.1000012304814874,10748,0.6612526147409868,40872,0.3143274628931785,0.7412750234138801,28050,0.8628645256552233,2.0348839887256416
9,16254,0.1000012304814874,12889,0.7929740371600836,53761,0.3675111427087036,0.8666975147788408,15161,0.932755014150363,2.199705964568232
10,16254,0.1000012304814874,15161,0.932755014150363,68922,0.42403622537498925,1.0,0,0.0,0.0
