split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.022294
DEV,ks,gcard_v2,0.047534
DEV,auc,gcard_v4,0.026626
DEV,ks,gcard_v4,0.053399
DEV,auc,gcard_v5,0.025131
DEV,ks,gcard_v5,0.051903
DEV,auc,gcard_v6,0.014774
DEV,ks,gcard_v6,0.030763
DEV-OOS,auc,gcard_v2,0.006814
DEV-OOS,ks,gcard_v2,0.015121
DEV-OOS,auc,gcard_v4,0.011261
DEV-OOS,ks,gcard_v4,0.025067
DEV-OOS,auc,gcard_v5,0.009496
DEV-OOS,ks,gcard_v5,0.01835
DEV-OOS,auc,gcard_v6,-0.000817
DEV-OOS,ks,gcard_v6,-0.000744
OOT,auc,gcard_v2,0.006023
OOT,ks,gcard_v2,0.016319
OOT,auc,gcard_v4,0.011441
OOT,ks,gcard_v4,0.024141
OOT,auc,gcard_v5,0.00694
OOT,ks,gcard_v5,0.0191
OOT,auc,gcard_v6,-0.001272
OOT,ks,gcard_v6,6.3e-05
OOT-OOS,auc,gcard_v2,0.008436
OOT-OOS,ks,gcard_v2,0.01838
OOT-OOS,auc,gcard_v4,0.012465
OOT-OOS,ks,gcard_v4,0.030665
OOT-OOS,auc,gcard_v5,0.00927
OOT-OOS,ks,gcard_v5,0.026058
OOT-OOS,auc,gcard_v6,3.6e-05
OOT-OOS,ks,gcard_v6,0.002697
