intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,100,0.000204,0,0.0
低意愿,2,374,0.000764,1,0.002674
低意愿,3,1891,0.003861,5,0.002644
低意愿,4,3668,0.00749,3,0.000818
低意愿,5,10240,0.020909,18,0.001758
低意愿,6,80108,0.163572,192,0.002397
低意愿,7,66867,0.136535,182,0.002722
中意愿,1,4068,0.008306,143,0.035152
中意愿,2,12766,0.026067,421,0.032978
中意愿,3,23142,0.047253,755,0.032625
中意愿,4,18843,0.038475,567,0.030091
中意愿,5,34302,0.070041,693,0.020203
中意愿,6,61045,0.124647,1273,0.020853
中意愿,7,9081,0.018542,235,0.025878
高意愿,1,7303,0.014912,2978,0.407778
高意愿,2,24257,0.04953,10565,0.435544
高意愿,3,35055,0.071578,14854,0.423734
高意愿,4,40649,0.083001,18467,0.454304
高意愿,5,9638,0.01968,3951,0.40994
高意愿,6,36703,0.074943,16615,0.452688
高意愿,7,9643,0.01969,4841,0.502022
