intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,100,0,0.0
低意愿,2,374,0,0.0
低意愿,3,1891,0,0.0
低意愿,4,3668,0,0.0
低意愿,5,10240,0,0.0
低意愿,6,80108,2,2.5e-05
低意愿,7,66867,0,0.0
中意愿,1,4068,1,0.000246
中意愿,2,12766,6,0.00047
中意愿,3,23142,13,0.000562
中意愿,4,18843,12,0.000637
中意愿,5,34302,12,0.00035
中意愿,6,61045,12,0.000197
中意愿,7,9081,1,0.00011
高意愿,1,7303,62,0.00849
高意愿,2,24257,347,0.014305
高意愿,3,35055,478,0.013636
高意愿,4,40649,573,0.014096
高意愿,5,9638,116,0.012036
高意愿,6,36703,431,0.011743
高意愿,7,9643,86,0.008918
