final_flag,n_samples,positive,bad_rate,segment,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks,ks_uplift_vs_gcard_v2,ks_uplift_vs_gcard_v4,ks_uplift_vs_gcard_v5,ks_uplift_vs_gcard_v6
DEV,183739,28148,0.153196,全客群,0.9515675822805573,0.7617247615380057,0.9292738715628627,0.7141907302495427,0.9249416979738968,0.7083259362789369,0.9264364529498273,0.7098220167032866,0.9367935709699249,0.7309617590542226,0.047534,0.053399,0.051903,0.030763
DEV-OOS,183480,31827,0.173463,全客群,0.9327507586166679,0.718941494472951,0.9259370733597045,0.7038200456930981,0.9214899812666204,0.6938746177024521,0.9232550020882132,0.7005919404477734,0.9335679118809683,0.7196854443216948,0.015121,0.025067,0.01835,-0.000744
OOT,61173,7895,0.12906,全客群,0.9345379777053843,0.7338745725130609,0.9285148934521257,0.7175553288836849,0.9230971405757591,0.709733538253707,0.927598438636577,0.7147744925639008,0.9358097729687774,0.7338111461952732,0.016319,0.024141,0.0191,6.3e-05
OOT-OOS,61351,8889,0.144888,全客群,0.9299381437004653,0.7187561274389183,0.9215022547363674,0.700376267362946,0.9174731623111531,0.6880913602578937,0.920668484305301,0.6926983163196526,0.9299017438800257,0.7160591761902659,0.01838,0.030665,0.026058,0.002697
DEV,60445,25414,0.420448,老户次新,0.8665632632160984,0.5687066628685714,0.7973409024083902,0.4504584125324433,0.8043563471445477,0.4647123540537347,0.785301087255869,0.42972840431293946,0.8176628033401088,0.479637310615104,0.118248,0.103994,0.138978,0.089069
DEV-OOS,65685,28713,0.437132,老户次新,0.8195325393229398,0.4854102429924831,0.7991887734244861,0.4551098004937303,0.8052709558611817,0.46760552194160315,0.787554360774624,0.4370446526878337,0.8198878385496651,0.48479410777306986,0.0303,0.017805,0.048366,0.000616
OOT,17304,6982,0.403491,老户次新,0.7965231518742995,0.45045265731889195,0.7757497067736454,0.41484648597358936,0.7809175805185877,0.42497673453885426,0.774371295557747,0.41447768005985,0.799163941979184,0.4540764468058618,0.035606,0.025476,0.035975,-0.003624
OOT-OOS,19104,7813,0.408972,老户次新,0.792341276696242,0.43708475990279516,0.7682455700833493,0.403852061916578,0.7769720518419989,0.4171174709861523,0.7656526721285498,0.40201719216442555,0.792074558136082,0.4363074230612628,0.033233,0.019967,0.035068,0.000777
DEV,53867,23506,0.436371,老户,0.8694861327404813,0.5731807686542119,0.7985785915216841,0.4499805563090255,0.8080916386693597,0.4670502111558776,0.7882833850661943,0.43320372371675786,0.8200805550592369,0.48367518075333615,0.1232,0.106131,0.139977,0.089506
DEV-OOS,57720,26310,0.455821,老户,0.8220818066762335,0.48802540570386804,0.8011480857158565,0.45567831239533524,0.8097955002504243,0.4716104037635176,0.7899265879563226,0.4391401905936021,0.8231462785868924,0.4888337096052249,0.032347,0.016415,0.048885,-0.000808
OOT,15920,6569,0.412626,老户,0.798895054121318,0.45452722291744085,0.7777522758459555,0.4175052227679619,0.7851350891783753,0.4309251483869747,0.777658521855937,0.42014505121134665,0.8021652759933345,0.4566032413354195,0.037022,0.023602,0.034382,-0.002076
OOT-OOS,16850,7106,0.421721,老户,0.7968254699999122,0.44509482146265533,0.7717421587286181,0.40619282195636874,0.7826769174919597,0.42540792096412894,0.7709661234152133,0.410134628013885,0.7971563873033127,0.441073438944956,0.038902,0.019687,0.03496,0.004021
DEV,6578,1908,0.290058,次新,0.8173273582661083,0.48717605124820995,0.7431726110733883,0.3694387605292617,0.7288250979758394,0.36167988723239014,0.7036730278013459,0.30577844217293126,0.762950991879116,0.39265865801157307,0.117737,0.125496,0.181398,0.094517
DEV-OOS,7965,2403,0.301695,次新,0.762478670809277,0.3977451325002323,0.7368053755538546,0.35760210289422406,0.7231099939051973,0.3519326569942911,0.7129132827642781,0.31960453963290225,0.7584329518582416,0.38489105446670624,0.040143,0.045812,0.078141,0.012854
OOT,1384,413,0.29841,次新,0.7370774244868749,0.368741942482102,0.7014361280890207,0.3282890328344874,0.6834196542342958,0.311847450146251,0.6937058472955417,0.29934692025145687,0.7303720734222227,0.37861419419833775,0.040453,0.056894,0.069395,-0.009872
OOT-OOS,2254,707,0.313665,次新,0.7318897094252782,0.34950431048276126,0.7085106979351583,0.33847986545828274,0.6998959522879982,0.31350361926949,0.6904553138848838,0.2937656403002938,0.7284976442976275,0.3436609982911672,0.011024,0.036001,0.055739,0.005843
DEV,123294,2734,0.022175,流失户,0.9166032348309692,0.6796120603241931,0.8734343831711789,0.5887483165421046,0.8016159587800636,0.5199267944410115,0.8817727600992977,0.606399627876542,0.8910821752208301,0.6290384690998214,0.090864,0.159685,0.073212,0.050574
DEV-OOS,117795,3114,0.026436,流失户,0.8859925200235843,0.6225294226983558,0.8817472488378447,0.6020930284383287,0.8133745791683232,0.5454955640423786,0.8881070658836911,0.6126883185172495,0.895774084833024,0.6300359702651095,0.020436,0.077034,0.009841,-0.007507
OOT,43869,913,0.020812,流失户,0.8782213481749123,0.6013853091173453,0.8721279292894586,0.5792957886720903,0.8056154948573886,0.5330857594035787,0.8786900006292896,0.6030768436017517,0.887747130026425,0.6183997645212652,0.02209,0.0683,-0.001692,-0.017014
OOT-OOS,42247,1076,0.025469,流失户,0.8994393362924908,0.6504445508302077,0.8854978970141936,0.6205425324138827,0.8330924884850466,0.5882590365634196,0.8922088841723597,0.6315029012643704,0.9022303184858076,0.6508203296451766,0.029902,0.062186,0.018942,-0.000376
