feature,iv,drop_reason
max_ctn_ovd_day,5.508787247582593e-05,low_iv
not_ovd_tqhk_rep_tim_cnt_12m,0.43510664089259066,high_corr
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,0.5526720419257357,kept
max_con_not_ovd_tqhk_rep_tim_cnt_5m,0.14892604141136812,kept
max_con_not_ovd_tqhk_rep_tim_cnt_12m,0.1856262458787906,kept
not_ovd_tqhk_rep_tim_cnt_3m,0.0,low_iv
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,2.0577240185674133,kept
d30_d60_his_rep_amt_sum_rat_btch,2.45654617642734,kept
d90_d360_his_rep_amt_sum_rat_btch,2.2856285849587232,high_corr
lag_his_rep_amt_sum_per_mth_all_rat_max,2.253687166122864,kept
lag_his_rep_amt_sum_per_mth_btch_rat_max,2.2191690092781107,kept
m6_up_flg_btch_cnt_rat,2.1044634915738096,kept
d30_d180_his_rep_amt_sum_rat_all,2.3556711200987968,kept
d30_his_rep_amt_sum_btch,2.3905843970717933,high_corr
d180_d360_his_rep_amt_sum_rat_all,2.234664803911924,high_corr
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,1.289869639470712,kept
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,1.5792751953592048,high_corr
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,1.553988796715055,kept
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,1.5609907677661141,kept
min_rsk_avl_lmt_bjq_12m_all,1.5505797772563454,kept
max_rsk_lmt_rate_bjq_12m_all,1.5043383029577007,kept
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,1.2894111306745404,high_corr
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,1.5533417837921517,kept
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,1.5647094110554378,kept
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,1.5670763541840411,kept
min_rsk_lmt_rate_bjq_12m_all,1.4940020847009023,high_corr
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,1.2839664255232464,high_corr
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,1.5513514621170126,high_corr
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,1.5582062316015626,kept
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,1.2930827211114286,high_corr
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,1.586887105677005,kept
max_rsk_avl_lmt_bjq_12m_all,1.5338264783900766,high_corr
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,2.2571780850022227,kept
stg_pln_sum_rep_prc_1m_his_d0_evn_zd_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_zd_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_1m_his_d0_afn_pk_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_12m_his_ovd_0d_pls_3d_mrn_pk_rto_v2,2.001654587606657,kept
stg_pln_sum_rep_prc_12m_his_ovd_14d_pls_30d_zd_rto_v2,2.0014775618970955,kept
stg_pln_sum_rep_prc_1m_his_d0_afn_zd_rto_v2,2.235961665457178,high_corr
stg_pln_sum_rep_prc_3m_his_d0_afn_zd_rto_v2,2.312675447342565,kept
stg_pln_sum_rep_prc_1m_his_ovd_3d_pls_7d_zd_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_6m_his_ovd_7d_pls_14d_afn_pk_rto_v2,2.1885161600062784,high_corr
stg_pln_sum_rep_prc_12m_his_ovd_3d_pls_7d_afn_pk_rto_v2,2.0014775618970955,kept
stg_pln_sum_rep_prc_6m_his_ovd_14d_pls_30d_afn_pk_rto_v2,2.1885161600062784,kept
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_mrn_pk_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_zd_rto_v2,2.0014775618970955,kept
stg_pln_sum_rep_prc_1m_his_ovd_7d_pls_14d_afn_pk_rto_v2,2.2081494723959842,kept
stg_pln_sum_rep_prc_1m_his_d0_mrn_zd_rto_v2,2.2956433842552846,kept
stg_pln_sum_rep_prc_his_d0_evn_zd_rto_v2,0.013094442098291258,kept
stg_pln_sum_rep_prc_12m_his_ovd_7d_pls_14d_afn_pk_rto_v2,2.0014775618970955,kept
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_zd_rto_v2,2.240472394254107,kept
stg_pln_sum_rep_prc_3m_his_ovd_m2_pls_zd_rto_v2,2.240472394254107,kept
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_mrn_pk_rto_v2,2.240472394254107,kept
stg_pln_sum_rep_prc_3m_his_d0_dwn_zd_rto_v2,2.263510902359574,kept
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_mrn_pk_rto_v2,2.0014775618970955,high_corr
