feature,split,gain,rank
d360_apl_ord_ddf_mdl_ord_crt_dte_min,61,63734.51815986633,1
his_90_day_csh_apl_ord_cnt_his_rto,5,49567.929443359375,2
his_180_day_csh_apl_ord_cnt_his_rto,10,37199.89306926727,3
ord_apl_sum_prc_amt_90_day,6,34080.489361763,4
ord_apl_max_prc_amt_180_day,5,20097.179931640625,5
unpaid_principal_future_light_add_heavy,26,17655.2045879364,6
d180_apl_ord_days_cnt_all,29,16987.999263763428,7
ord_apl_sum_prc_amt_360_day,21,15019.638153076172,8
his_360_day_csh_apl_ord_cnt,41,9572.043815612793,9
cnt_event_result_1_uid_recent_days_120,22,7599.381446838379,10
cnt_avb_lmt_2m_v2,1,3814.800048828125,11
stg_pln_max_rep_prc_1m_his,9,3595.974055290222,12
cnt_other_info_cash_uid_recent_days_30,22,3262.9219522476196,13
d360_apl_ord_cnt_all,7,3257.7087087631226,14
his_360_day_csh_apl_ord_cnt_his_rto,13,2945.1478729248047,15
dau_90d,56,2843.148928642273,16
cnt_avg_ord_span_30d,18,2618.4933400154114,17
ddf_lst_app_str_tim_to_mdl_tim_sec,80,2369.463037967682,18
d30_apl_ord_days_cnt_all,17,1887.248191833496,19
clk_cnt_14d,41,1638.3891243934631,20
d90_bsy_typ_bt_cash_suc_ord_cnt_all,28,1136.8024005889893,21
first_day_diff_event_result_0_event_type_loan_all,31,858.5329132080078,22
pst_ord_apl_suc_max_prc_amt_180_day,4,801.3772201538086,23
his_30d_app_str_ctn_v2,23,657.9573159217834,24
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,20,635.2246980667114,25
3m_used_lmt_first_der_median,9,595.7567858695984,26
d60_apl_ord_prc_amt_per_stg_avg_all,10,574.9655122756958,27
m1_stg_pln_d0_rep_apl_suc_cnt,4,561.5541467666626,28
6m_used_lmt_first_der_min,9,560.7518148422241,29
max_avl_lmt_lft_rep_prc_1m_cash_3m,19,551.5099287033081,30
sum_avb_lmt_2m_v2,27,539.9537963867188,31
rsk_avl_lmt_ch_les_500_cnt_12m,12,521.853099822998,32
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,24,509.3807010650635,33
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,10,467.8822994232178,34
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,27,430.35699117183685,35
d60_apl_ord_ddf_mdl_ord_crt_dte_max,8,410.2162465453148,36
his_720_day_csh_apl_ord_cnt_his_rto,10,386.7193021774292,37
max_rsk_lmt_rate_12m_bt_ch,14,381.93039894104004,38
pst_ord_apl_suc_sum_prc_amt_90_180_day_rto,5,373.29119873046875,39
first_amt_event_type_credit_all,28,356.7398943901062,40
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,8,353.0045986175537,41
rsk_avl_lmt_ch_1m_les_500_cnt_3m,5,341.07850074768066,42
ord_apl_fal_cnt_his,16,329.4783525466919,43
18m_used_lmt_second_der_small_0_count,18,324.71494913101196,44
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,5,319.01659774780273,45
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,19,311.856369972229,46
max_amt_other_info_manual_repay,16,305.87854766845703,47
max_con_dau_7d,7,292.6267967224121,48
12m_used_lmt_second_der_sum,17,288.4984016418457,49
ddf_ato_fst_ord_crt_dte,17,279.3998193740845,50
ord_apl_min_prc_amt_his,13,273.42108726501465,51
min_rsk_lmt_rate_3m_bt_ch,8,273.0407032966614,52
rsi_abf_1y_inter_1m,2,271.69231128692627,53
d7_d360_suc_ord_prc_amt_avg_rat_all,14,270.7783012390137,54
rsk_avl_lmt_ch_les_1000_rate_12m,9,263.12689781188965,55
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,19,260.46170139312744,56
m1_stg_pln_d0_rep_apl_cnt,4,252.05000162124634,57
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,18,235.97531986236572,58
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,13,231.47171926498413,59
