feature,non_null_rate,unique_count,drop_reason
max_ctn_ovd_day,1.0,128,
not_ovd_tqhk_rep_tim_cnt_12m,1.0,81,
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,0.191905,360,
ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,0.05191,359,low_non_null_rate
max_con_not_ovd_tqhk_rep_tim_cnt_5m,1.0,22,
max_con_not_ovd_tqhk_rep_tim_cnt_12m,1.0,33,
not_ovd_tqhk_rep_tim_cnt_3m,1.0,28,
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,0.426055,5,
d30_d60_his_rep_amt_sum_rat_btch,0.489085,42789,
d90_d360_his_rep_amt_sum_rat_btch,0.489085,61043,
lag_his_rep_amt_sum_per_mth_all_rat_max,0.395625,57759,
lag_his_rep_amt_sum_per_mth_btch_rat_max,0.38911,55981,
m6_up_flg_btch_cnt_rat,0.426055,12,
d30_d180_his_rep_amt_sum_rat_all,0.489085,60545,
d30_his_rep_amt_sum_btch,0.489085,58258,
d180_d360_his_rep_amt_sum_rat_all,0.489085,60137,
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.537695,48802,
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,0.59238,180,
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,0.59017,3853,
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,0.59238,196,
min_rsk_avl_lmt_bjq_12m_all,0.587325,33235,
max_rsk_lmt_rate_bjq_12m_all,0.579835,33619,
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,0.53765,49993,
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,0.59017,3142,
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,0.59017,3546,
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,0.59238,238,
min_rsk_lmt_rate_bjq_12m_all,0.579835,53981,
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.537695,102231,
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,0.59017,3440,
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,0.59017,4211,
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,0.53766,98686,
