feature,gain,split
d180_apl_ord_days_cnt,390325.55737903714,113
first_day_diff_event_result_1_all,200988.71394428797,186
d360_apl_ord_ddf_mdl_ord_crt_dte_min,74347.56009565666,212
his_360_day_csh_apl_ord_cnt_his_rto,72331.48681497574,81
d30_d60_apl_ord_cnt_rat,52955.83011674881,10
d180_apl_ord_days_cnt_all,19128.947819553316,41
dau_90d,14052.767907702364,166
pmt_crd_amt_1m,11614.072174549103,41
pmt_crd_amt_3m,8446.1830368042,32
cnt_avg_ord_span_30d,8369.490726126358,53
ddf_lst_app_str_tim_to_mdl_tim_sec,6892.132255315781,278
d30_apl_ord_days_cnt,6468.9475573301315,82
stg_pln_max_prc_amt_12m_ftr,5926.201312541962,19
clk_cnt_14d,4640.889730453491,108
ord_apl_avg_prc_amt_720_day_per_mth,4588.928366661072,62
d180_apl_ord_ddf_mdl_ord_crt_dte_max,4433.167736053467,110
his_30d_app_str_ctn_v2,3742.2792887687683,110
first_day_diff_event_result_0_event_type_loan_all,3343.5189544707537,109
avg_avl_lmt_lft_rep_prc_3m_cash_1m,3305.5636320523918,81
rsk_avl_lmt_ch_les_10000_cnt_12m,3172.502393722534,64
his_720_day_csh_apl_ord_cnt_his_rto,2967.891749382019,40
pst_ord_apl_suc_max_prc_amt_180_day,2828.4590123295784,23
d180_apl_ord_cnt_all,2591.0461387634277,11
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,2531.5203886032104,101
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,2179.0002496242523,124
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,2145.3670444488525,53
min_rsk_lmt_rate_12m_bt_ch,2140.3693766593933,68
rsi_abf_1y_inter_1m,2089.0519342422485,64
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,1992.2558522224426,29
sum_avb_lmt_2m_v2,1971.2038650512695,114
min_rsk_lmt_rate_3m_bt_ch,1928.705445766449,35
ord_apl_fal_cnt_his,1526.4227104187012,85
d60_apl_ord_ddf_mdl_ord_crt_dte_max,1444.9086518287659,66
ddf_ato_fst_ord_crt_dte,1409.7354544401169,109
max_amt_other_info_manual_repay,1308.5851559638977,88
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1279.0314874649048,40
first_amt_event_type_credit_all,1256.7278852462769,92
per_event_type_limit_all,1229.9007313251495,99
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1189.0660018920898,39
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,1183.4746298193932,62
d180_suc_ord_days_cnt_all,1164.9538836479187,19
d360_apl_ord_ddf_mdl_ord_crt_dte_max,1161.275673866272,64
d7_d360_suc_ord_prc_amt_avg_rat_all,1142.4828395843506,65
