decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,960000,0.1,1129,0.0011760416666666666,1129,0.0011760416666666666,0.007521316503527158,1499938,0.1736039351851852,1.1102754092773859
2,960000,0.1,2408,0.0025083333333333333,3537,0.0018421875,0.011781619341441788,1497530,0.19499088541666668,1.2470545951646397
3,960000,0.1,3755,0.003911458333333334,7292,0.0025319444444444443,0.01619292587650429,1493775,0.22228794642857144,1.421631603195784
4,960000,0.1,6148,0.0064041666666666665,13440,0.0035,0.022384077459567095,1487627,0.2582685763888889,1.6517439483602887
5,960000,0.1,10903,0.011357291666666667,24343,0.005071458333333333,0.03243426176180011,1476724,0.3076508333333333,1.9675657382382
6,960000,0.1,25381,0.026438541666666666,49724,0.00863263888888889,0.05520961644838861,1451343,0.37795390625,2.417185575327417
7,960000,0.1,80167,0.08350729166666666,129891,0.019329017857142857,0.12361778083761181,1371176,0.47610277777777776,3.044891844712239
8,960000,0.1,199368,0.207675,329259,0.042872265625,0.27418746131918165,1171808,0.6103166666666666,3.903250154723273
9,960000,0.1,418815,0.436265625,748074,0.08658263888888888,0.5537349987264615,752993,0.7843677083333334,5.016385011461847
10,960000,0.1,752993,0.7843677083333334,1501067,0.15636114583333333,1.0,0,0.0,0.0
