decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,960023,0.10000239583333333,730,0.0007603984487871645,730,0.0007603984487871645,0.004863090793653301,1500337,0.17365057800501088,1.1105737111322176
2,960270,0.100028125,1861,0.0019379966051214764,2591,0.001349273261944922,0.008629210631285113,1498476,0.19512150658872793,1.2478899764312907
3,959717,0.09997052083333334,3468,0.0036135652489223385,6059,0.002103812139541182,0.013454826826247828,1495008,0.22247175963059468,1.4228071714678352
4,960235,0.10002447916666667,6450,0.006717105708498441,12509,0.00325734425798354,0.02083218462376562,1488558,0.2584412010580311,1.6528479609218634
5,959755,0.09997447916666667,14594,0.015205964022068133,27103,0.005646458333333333,0.03611164591587184,1473964,0.3070758333333333,1.963888354084128
6,960000,0.1,38567,0.040173958333333336,65670,0.011401041666666667,0.07291479993897675,1435397,0.37380130208333334,2.390627800091535
7,960000,0.1,94777,0.09872604166666667,160447,0.023876041666666667,0.1526980474555766,1340620,0.46549305555555553,2.977037889270321
8,960000,0.1,217619,0.22668645833333334,378066,0.04922734375,0.3148310501796389,1123001,0.5848963541666666,3.7406757992814446
9,960000,0.1,421737,0.439309375,799803,0.09256979166666666,0.5920255391664729,701264,0.7304833333333334,4.671770147501745
10,960000,0.1,701264,0.7304833333333334,1501067,0.15636114583333333,1.0,0,0.0,0.0
