decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,641834,0.1000000934822027,490,0.00076343727505866,490,0.00076343727505866,0.031504943833553116,155041,0.026839954990045874,1.1076106735704208
2,641833,0.09999993767853153,858,0.0013367963317560798,1348,0.00105011658007879,0.043335405481115793,154183,0.030027847959760583,1.2391661952084279
3,641833,0.09999993767853153,1252,0.001950663178739641,2600,0.001350298623734095,0.05572308778870932,152931,0.03403887167876667,1.4046900451836946
4,641834,0.1000000934822027,2005,0.003123860686719619,4605,0.0017936894848897729,0.07402060172126788,150926,0.03919137886263308,1.6173197591536044
5,641833,0.09999993767853153,2725,0.004245652685355848,7330,0.0022840818193630933,0.0942577363998174,148201,0.04618051974235059,1.9057422636001826
6,641833,0.09999993767853153,4135,0.006442485817961993,11465,0.002977148792521423,0.12285869259568313,144066,0.056115020484284475,2.315711619451939
7,641834,0.1000000934822027,6729,0.01048401923238719,18194,0.004049559810133203,0.16711412782282298,137337,0.07132537003375747,2.9434006567838353
8,641833,0.09999993767853153,11535,0.017971964669937508,29729,0.005789859400814113,0.2389314763453257,125802,0.09800205193402962,4.04427350173244
9,641833,0.09999993767853153,22970,0.03578812557160507,52699,0.009122998355405523,0.37648089786887085,102832,0.16021588136496354,6.611666090391703
10,641834,0.1000000934822027,102832,0.16021588136496354,155531,0.02423230078085684,1.0,0,0.0,0.0
