decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,641834,0.1000000934822027,628,0.0009784461402792622,628,0.0009784461402792622,0.04037776474994154,154903,0.026816065091318272,1.1066248035556974
2,641833,0.09999993767853153,1169,0.0018213460510755914,1797,0.0013998957673602265,0.057769824665849456,153734,0.029940403145909948,1.235557589709452
3,641833,0.09999993767853153,1759,0.0027405882838682336,3556,0.0018467930407686315,0.0762120385294809,151975,0.03382608838875418,1.3959090675977532
4,641834,0.1000000934822027,2319,0.00361308375685925,5875,0.002288366063784455,0.09443453531214958,149656,0.038861594391067254,1.6037104665590542
5,641833,0.09999993767853153,3239,0.005046484054263336,9114,0.0028399893181003046,0.11719850062045509,146417,0.045624612243613374,1.882801499379545
6,641834,0.1000000934822027,4405,0.006863145299251832,13519,0.0035105158373108705,0.14486927465361135,142012,0.05531499030316675,2.2826965876415986
7,641833,0.09999993767853153,6584,0.010258120102892808,20103,0.004474458660168615,0.18464852762571235,135428,0.07033393923656193,2.902487051172818
8,641833,0.09999993767853153,10666,0.016618029923671732,30769,0.005992404181225384,0.24728993897101573,124762,0.09719187297017061,4.010839657741074
9,641833,0.09999993767853153,20901,0.03256454560610003,51670,0.008944862806197525,0.36912973667212956,103861,0.1618190996425867,6.677826472442163
10,641834,0.1000000934822027,103861,0.1618190996425867,155531,0.02423230078085684,1.0,0,0.0,0.0
