decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,318167,0.10000012572029873,29016,0.09119739004987946,29016,0.09119739004987946,0.21564613299862642,1316520,0.45975919670305454,1.0871505514065924
2,318167,0.10000012572029873,47724,0.14999669984630712,76740,0.1205970449480933,0.2851648098689446,1268796,0.4984795696592822,1.1787090783743948
3,318166,0.0999998114195519,67544,0.21229169678721171,144284,0.15116186485070718,0.3574386459315025,1201252,0.5393634780703369,1.275383519889573
4,318167,0.10000012572029873,88589,0.27843553856936765,232873,0.1829803082817422,0.4326768109731271,1112663,0.5828515363287251,1.3782157565348452
5,318166,0.0999998114195519,110971,0.348783339514593,343844,0.21614085199389252,0.5110885178843227,1001692,0.6296650874101807,1.4889114821156773
6,318167,0.10000012572029873,137888,0.4333824689549828,481732,0.2523478260869565,0.5967038402798457,863804,0.6787358191387214,1.6049445564710414
7,318166,0.0999998114195519,166446,0.5231420076312365,648178,0.29103263968648946,0.6881782832869237,697358,0.730600314300681,1.727583787873227
8,318167,0.10000012572029873,197822,0.6217552417441156,846000,0.33237301366854555,0.7859320872178422,499536,0.7850229361042096,1.856271987537261
9,318166,0.0999998114195519,229661,0.7218275994292288,1075661,0.37564566986054476,0.8882549822840266,269875,0.848218074156025,2.0057037545838265
10,318167,0.10000012572029873,269875,0.848218074156025,1345536,0.4229029697020366,1.0,0,0.0,0.0
