decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,318167,0.10000012572029873,19728,0.06200517338378902,19728,0.06200517338378902,0.14661796635638621,1325808,0.4630027808635519,1.0948203584140548
2,318167,0.10000012572029873,38404,0.120703907067672,58132,0.09135454022573052,0.21601773165626123,1287404,0.5057902073285528,1.1959958750937971
3,318166,0.0999998114195519,56030,0.17610304055115883,114162,0.11960398114195914,0.2828166026505516,1231374,0.5528882894225217,1.3073644051543747
4,318167,0.10000012572029873,77732,0.24431194938507136,191894,0.15078099770010536,0.35653804419094204,1153642,0.6043177602502673,1.4289749742737667
5,318166,0.0999998114195519,104166,0.32739513335805837,296060,0.18610375821975028,0.440062547564688,1049476,0.6597021811843229,1.559937452435312
6,318167,0.10000012572029873,133964,0.42104932315419263,430024,0.2252613933996857,0.5326550285480317,915512,0.7193654894528494,1.7010178243952518
7,318166,0.0999998114195519,168021,0.5280922537291854,598045,0.26852286717739043,0.6349514815811833,747491,0.7831231011000523,1.85177962134391
8,318167,0.10000012572029873,206191,0.6480590381780638,804236,0.3159649444689555,0.7471334256450691,541300,0.8506552386879197,2.011466694800614
9,318166,0.0999998114195519,247972,0.7793793177146521,1052208,0.3674553404768083,0.8688880589694253,293328,0.9219309356407169,2.1800058209340047
10,318167,0.10000012572029873,293328,0.9219309356407169,1345536,0.4229029697020366,1.0,0,0.0,0.0
