month,split,n_samples,positive,bad_rate,model_auc,model_ks,v6_auc,v6_ks
2026-02,DEV,600000,71787.0,0.1196,0.9383,0.7433,0.9372,0.7393
2026-02,OOT,0,,,,,,
2026-02,DEV-OOS,600000,76934.0,0.1282,0.9369,0.7393,0.9358,0.7365
2026-02,OOT-OOS,0,,,,,,
2026-02,DEV+OOT,600000,71787.0,0.1196,0.9383,0.7433,0.9372,0.7393
2026-03,DEV,600000,66362.0,0.1106,0.9423,0.7521,0.9406,0.7483
2026-03,OOT,0,,,,,,
2026-03,DEV-OOS,600000,69411.0,0.1157,0.9423,0.7518,0.9407,0.748
2026-03,OOT-OOS,0,,,,,,
2026-03,DEV+OOT,600000,66362.0,0.1106,0.9423,0.7521,0.9406,0.7483
2026-04,DEV,0,,,,,,
2026-04,OOT,600000,63768.0,0.1063,0.9454,0.7602,0.9441,0.7571
2026-04,DEV-OOS,0,,,,,,
2026-04,OOT-OOS,600000,66287.0,0.1105,0.9449,0.7581,0.9434,0.7566
2026-04,DEV+OOT,600000,63768.0,0.1063,0.9454,0.7602,0.9441,0.7571
