month,split,segment,n_samples,positive,bad_rate,model_auc,model_ks,v6_auc,v6_ks,auc_uplift,ks_uplift
2026-02,DEV+OOT,B2,440892,9084,0.0206,0.8922,0.6398,0.8964,0.6366,-0.0042,0.0032
2026-02,DEV,B2,440892,9084,0.0206,0.8922,0.6398,0.8964,0.6366,-0.0042,0.0032
2026-02,DEV-OOS,B2,436114,10087,0.0231,0.8934,0.639,0.8973,0.6385,-0.0039,0.0005
2026-02,DEV+OOT,E2,11193,3381,0.3021,0.7534,0.3701,0.7383,0.3558,0.0151,0.0143
2026-02,DEV,E2,11193,3381,0.3021,0.7534,0.3701,0.7383,0.3558,0.0151,0.0143
2026-02,DEV-OOS,E2,11192,3484,0.3113,0.759,0.3933,0.7524,0.3719,0.0066,0.0214
2026-02,DEV+OOT,E3,147915,59322,0.4011,0.8026,0.4522,0.7971,0.4435,0.0055,0.0087
2026-02,DEV,E3,147915,59322,0.4011,0.8026,0.4522,0.7971,0.4435,0.0055,0.0087
2026-02,DEV-OOS,E3,152694,63363,0.415,0.8018,0.4547,0.7964,0.442,0.0054,0.0127
2026-03,DEV+OOT,B2,447803,8750,0.0195,0.91,0.6746,0.9101,0.6659,-0.0001,0.0087
2026-03,DEV,B2,447803,8750,0.0195,0.91,0.6746,0.9101,0.6659,-0.0001,0.0087
2026-03,DEV-OOS,B2,445523,9346,0.021,0.9132,0.686,0.9125,0.6785,0.0007,0.0075
2026-03,DEV+OOT,E2,8890,2432,0.2736,0.7637,0.3917,0.7527,0.376,0.011,0.0157
2026-03,DEV,E2,8890,2432,0.2736,0.7637,0.3917,0.7527,0.376,0.011,0.0157
2026-03,DEV-OOS,E2,9514,2641,0.2776,0.7554,0.387,0.7513,0.3829,0.0041,0.0041
2026-03,DEV+OOT,E3,143307,55180,0.385,0.8086,0.4619,0.8023,0.451,0.0063,0.0109
2026-03,DEV,E3,143307,55180,0.385,0.8086,0.4619,0.8023,0.451,0.0063,0.0109
2026-03,DEV-OOS,E3,144963,57424,0.3961,0.809,0.4641,0.8036,0.4546,0.0054,0.0095
2026-04,DEV+OOT,B2,453136,8210,0.0181,0.9157,0.6929,0.9163,0.6887,-0.0006,0.0042
2026-04,OOT,B2,453136,8210,0.0181,0.9157,0.6929,0.9163,0.6887,-0.0006,0.0042
2026-04,OOT-OOS,B2,450270,8586,0.0191,0.9179,0.6942,0.9174,0.6891,0.0005,0.0051
2026-04,DEV+OOT,E2,7820,2255,0.2884,0.7747,0.4168,0.7609,0.3972,0.0138,0.0196
2026-04,OOT,E2,7820,2255,0.2884,0.7747,0.4168,0.7609,0.3972,0.0138,0.0196
2026-04,OOT-OOS,E2,8605,2382,0.2768,0.7585,0.3865,0.7466,0.3751,0.0119,0.0114
2026-04,DEV+OOT,E3,139044,53303,0.3834,0.8092,0.4615,0.8039,0.4532,0.0053,0.0083
2026-04,OOT,E3,139044,53303,0.3834,0.8092,0.4615,0.8039,0.4532,0.0053,0.0083
2026-04,OOT-OOS,E3,141125,55319,0.392,0.8085,0.463,0.8033,0.4556,0.0052,0.0074
