intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,3058,0.000319,3,0.000981
低意愿,2,11343,0.001182,31,0.002733
低意愿,3,47038,0.0049,115,0.002445
低意愿,4,83119,0.008658,197,0.00237
低意愿,5,206424,0.021503,610,0.002955
低意愿,6,1537316,0.160137,4026,0.002619
低意愿,7,1311702,0.136636,4053,0.00309
中意愿,1,74771,0.007789,3027,0.040484
中意愿,2,238923,0.024888,8988,0.037619
中意愿,3,438801,0.045708,14574,0.033213
中意愿,4,364561,0.037975,12362,0.033909
中意愿,5,659987,0.068749,14059,0.021302
中意愿,6,1234709,0.128616,25992,0.021051
中意愿,7,188248,0.019609,5151,0.027363
高意愿,1,147441,0.015358,58576,0.397284
高意愿,2,480061,0.050006,207629,0.432505
高意愿,3,686637,0.071525,290953,0.423736
高意愿,4,787076,0.081987,357925,0.454753
高意愿,5,192949,0.020099,77157,0.399883
高意愿,6,716808,0.074667,320165,0.446654
高意愿,7,189028,0.01969,95474,0.505079
