intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,3058,0,0.0
低意愿,2,11343,0,0.0
低意愿,3,47038,2,4.3e-05
低意愿,4,83119,2,2.4e-05
低意愿,5,206424,7,3.4e-05
低意愿,6,1537316,26,1.7e-05
低意愿,7,1311702,23,1.8e-05
中意愿,1,74771,48,0.000642
中意愿,2,238923,148,0.000619
中意愿,3,438801,239,0.000545
中意愿,4,364561,202,0.000554
中意愿,5,659987,147,0.000223
中意愿,6,1234709,247,0.0002
中意愿,7,188248,33,0.000175
高意愿,1,147441,1380,0.00936
高意愿,2,480061,6457,0.01345
高意愿,3,686637,9375,0.013654
高意愿,4,787076,11536,0.014657
高意愿,5,192949,2056,0.010656
高意愿,6,716808,8108,0.011311
高意愿,7,189028,1714,0.009067
