segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
全客群,DEV-OOS,model_score,低意愿,1,1210,0.0,0.0,0.0,0,0.0
全客群,DEV-OOS,model_score,低意愿,2,4683,31115.549,0.0,0.0,0,0.0
全客群,DEV-OOS,model_score,低意愿,3,19300,311697.12,0.0,0.0,0,0.0
全客群,DEV-OOS,model_score,低意愿,4,32586,130255.72,2756.01,0.021158456802368164,1,3.068802553243724e-05
全客群,DEV-OOS,model_score,低意愿,5,81893,1.0947509e+06,23358.08,0.02133643440902233,4,4.884422356001124e-05
全客群,DEV-OOS,model_score,低意愿,6,577171,2.7114815e+06,113399.92,0.041822127997875214,14,2.4256242950529394e-05
全客群,DEV-OOS,model_score,低意愿,7,483157,1.4024981e+06,33007.22,0.023534590378403664,12,2.483664730098084e-05
全客群,DEV-OOS,model_score,中意愿,1,31225,1.3960875e+07,84761.62,0.00607136869803071,28,0.0008967173738991193
全客群,DEV-OOS,model_score,中意愿,2,98089,2.7142962e+07,494327.88,0.018212009221315384,102,0.0010398719530222552
全客群,DEV-OOS,model_score,中意愿,3,178406,2.6208304e+07,814886.4,0.031092679128050804,193,0.0010818021815409795
全客群,DEV-OOS,model_score,中意愿,4,151803,1.4586127e+07,457018.03,0.03133237734436989,181,0.0011923348023425097
全客群,DEV-OOS,model_score,中意愿,5,236904,1.1042611e+07,255717.6,0.023157348856329918,90,0.00037990071927869516
全客群,DEV-OOS,model_score,中意愿,6,437924,1.210809e+07,480958.84,0.03972210735082626,178,0.00040646322192891917
全客群,DEV-OOS,model_score,中意愿,7,65649,1.1451262e+06,39956.45,0.03489261493086815,22,0.0003351155386982285
全客群,DEV-OOS,model_score,高意愿,1,50155,2.3364573e+08,6.069583e+06,0.025977719575166702,661,0.013179144651580101
全客群,DEV-OOS,model_score,高意愿,2,165350,4.810032e+08,1.5751515e+07,0.032747212797403336,3177,0.019213788932567283
全客群,DEV-OOS,model_score,高意愿,3,243488,3.423974e+08,1.4935108e+07,0.043619219213724136,4950,0.0203295439610987
全客群,DEV-OOS,model_score,高意愿,4,295095,2.5798901e+08,1.2801517e+07,0.04962039738893509,6356,0.021538826479608263
全客群,DEV-OOS,model_score,高意愿,5,70808,3.633692e+07,1.7395726e+06,0.047873418778181076,1136,0.016043384928256695
全客群,DEV-OOS,model_score,高意愿,6,289817,1.1410216e+08,6.3550635e+06,0.055696260184049606,4573,0.01577892256147845
全客群,DEV-OOS,model_score,高意愿,7,85287,1.877511e+07,1.0952561e+06,0.05833553522825241,1020,0.01195961869921559
全客群,DEV-OOS,model_score,低意愿,合计,1200000,5.681799e+06,172521.23,0.030363839119672775,31,2.5833333333333332e-05
全客群,DEV-OOS,model_score,中意愿,合计,1200000,1.061941e+08,2.6276268e+06,0.02474362403154373,794,0.0006616666666666666
全客群,DEV-OOS,model_score,高意愿,合计,1200000,1.4842496e+09,5.8747616e+07,0.039580684155225754,21873,0.0182275
全客群,DEV-OOS,model_score,合计,1,82590,2.4760661e+08,6.1543445e+06,0.02485533244907856,689,0.008342414335876014
全客群,DEV-OOS,model_score,合计,2,268122,5.0817728e+08,1.6245843e+07,0.0319688506424427,3279,0.012229507463020565
全客群,DEV-OOS,model_score,合计,3,441194,3.689174e+08,1.5749995e+07,0.04269246757030487,5143,0.01165700349506113
全客群,DEV-OOS,model_score,合计,4,479484,2.7270538e+08,1.3261291e+07,0.04862863942980766,6538,0.013635491486681516
全客群,DEV-OOS,model_score,合计,5,389605,4.847428e+07,2.0186484e+06,0.04164370149374008,1230,0.0031570436724374686
全客群,DEV-OOS,model_score,合计,6,1304912,1.28921736e+08,6.949422e+06,0.05390419065952301,4765,0.0036515872334686172
全客群,DEV-OOS,model_score,合计,7,634093,2.1322734e+07,1.1682198e+06,0.054787520319223404,1054,0.001662216741077413
全客群,DEV-OOS,model_score,合计,合计,3600000,1.5961254e+09,6.154777e+07,0.03856073319911957,22698,0.006305
全客群,DEV-OOS,gcard_v2,低意愿,1,2174,33035.15,8241.93,0.2494897097349167,1,0.00045998160073597056
全客群,DEV-OOS,gcard_v2,低意愿,2,10051,471185.47,50048.75,0.10621879249811172,5,0.0004974629390110437
全客群,DEV-OOS,gcard_v2,低意愿,3,37725,655968.0,1619.87,0.002469434402883053,1,2.6507620941020545e-05
全客群,DEV-OOS,gcard_v2,低意愿,4,48423,701199.1,527.3,0.0007519975188188255,1,2.065134336988621e-05
全客群,DEV-OOS,gcard_v2,低意愿,5,130995,2.2359775e+06,43399.11,0.019409457221627235,10,7.633879155692965e-05
全客群,DEV-OOS,gcard_v2,低意愿,6,596830,3.550115e+06,130985.72,0.03689619153738022,20,3.3510379840155486e-05
全客群,DEV-OOS,gcard_v2,低意愿,7,373356,556835.3,5780.05,0.010380178689956665,2,5.356817621787249e-06
全客群,DEV-OOS,gcard_v2,中意愿,1,26928,1.2888017e+07,50421.8,0.003912300802767277,21,0.0007798573975044563
全客群,DEV-OOS,gcard_v2,中意愿,2,90710,2.9613898e+07,489065.03,0.016514712944626808,116,0.0012788005732554293
全客群,DEV-OOS,gcard_v2,中意愿,3,163896,2.9690256e+07,928318.6,0.03126677870750427,262,0.0015985747059110655
全客群,DEV-OOS,gcard_v2,中意愿,4,142021,1.6550172e+07,569813.25,0.03442944586277008,260,0.0018307151759246873
全客群,DEV-OOS,gcard_v2,中意愿,5,181568,9.248718e+06,282118.78,0.03050355613231659,112,0.0006168487839266831
全客群,DEV-OOS,gcard_v2,中意愿,6,418530,1.1737764e+07,488760.1,0.041639965027570724,210,0.0005017561465127947
全客群,DEV-OOS,gcard_v2,中意愿,7,175901,2.0585708e+06,59582.03,0.028943397104740143,31,0.00017623549610292153
全客群,DEV-OOS,gcard_v2,高意愿,1,53472,2.3467726e+08,6.095681e+06,0.025974741205573082,667,0.012473818073010174
全客群,DEV-OOS,gcard_v2,高意愿,2,167326,4.7808285e+08,1.5706729e+07,0.03285356983542442,3158,0.018873337078517384
全客群,DEV-OOS,gcard_v2,高意愿,3,239348,3.3851222e+08,1.4818772e+07,0.04377618059515953,4878,0.020380366662767185
全客群,DEV-OOS,gcard_v2,高意愿,4,288778,2.5539885e+08,1.2690951e+07,0.04969071224331856,6277,0.021736420364432192
全客群,DEV-OOS,gcard_v2,高意愿,5,76943,3.6970404e+07,1.6870276e+06,0.04563184082508087,1106,0.01437427706224088
全客群,DEV-OOS,gcard_v2,高意愿,6,288939,1.13582936e+08,6.3286845e+06,0.055718619376420975,4532,0.015684971568393328
全客群,DEV-OOS,gcard_v2,高意愿,7,84748,1.8701614e+07,1.1012796e+06,0.058886874467134476,1018,0.01201208288101194
全客群,DEV-OOS,gcard_v2,低意愿,合计,1199554,8.2043155e+06,240602.72,0.029326360672712326,40,3.334572682847125e-05
全客群,DEV-OOS,gcard_v2,中意愿,合计,1199554,1.117874e+08,2.8680795e+06,0.025656554847955704,1012,0.0008436468887603226
全客群,DEV-OOS,gcard_v2,高意愿,合计,1199554,1.4759261e+09,5.8429124e+07,0.03958810865879059,21636,0.0180367036415201
全客群,DEV-OOS,gcard_v2,合计,1,82574,2.4759832e+08,6.1543445e+06,0.024856165051460266,689,0.00834403080872914
全客群,DEV-OOS,gcard_v2,合计,2,268087,5.0816794e+08,1.6245843e+07,0.03196943551301956,3279,0.012231104081883866
全客群,DEV-OOS,gcard_v2,合计,3,440969,3.6885846e+08,1.5748711e+07,0.04269580915570259,5141,0.011658415897716165
全客群,DEV-OOS,gcard_v2,合计,4,479222,2.726502e+08,1.3261291e+07,0.0486384779214859,6538,0.013642946275421413
全客群,DEV-OOS,gcard_v2,合计,5,389506,4.84551e+07,2.0125455e+06,0.04153423383831978,1228,0.0031527113831365883
全客群,DEV-OOS,gcard_v2,合计,6,1304299,1.2887082e+08,6.9484305e+06,0.05391779541969299,4762,0.00365100333589154
全客群,DEV-OOS,gcard_v2,合计,7,634005,2.131702e+07,1.1666418e+06,0.054728180170059204,1051,0.0016577156331574671
全客群,DEV-OOS,gcard_v2,合计,合计,3598662,1.595918e+09,6.153781e+07,0.038559507578611374,22688,0.006304565419036298
全客群,DEV-OOS,gcard_v4,低意愿,1,2956,104967.51,0.0,0.0,0,0.0
全客群,DEV-OOS,gcard_v4,低意愿,2,14298,742174.25,27738.791,0.037375036627054214,10,0.0006993985172751433
全客群,DEV-OOS,gcard_v4,低意愿,3,46939,1.720048e+06,31329.9,0.018214549869298935,8,0.0001704339674897207
全客群,DEV-OOS,gcard_v4,低意愿,4,53806,1.3331879e+06,12643.15,0.009483397006988525,7,0.0001300970152027655
全客群,DEV-OOS,gcard_v4,低意愿,5,147784,3.5762008e+06,83125.04,0.02324395254254341,21,0.00014209928003031453
全客群,DEV-OOS,gcard_v4,低意愿,6,576116,5.688048e+06,172640.73,0.030351489782333374,40,6.943046192086316e-05
全客群,DEV-OOS,gcard_v4,低意愿,7,387162,1.2526244e+06,48615.992,0.03881131112575531,13,3.3577675495012424e-05
全客群,DEV-OOS,gcard_v4,中意愿,1,26030,1.2428071e+07,109043.586,0.00877397507429123,29,0.001114099116404149
全客群,DEV-OOS,gcard_v4,中意愿,2,81851,2.1372432e+07,530460.25,0.024819836020469666,84,0.0010262550243735568
全客群,DEV-OOS,gcard_v4,中意愿,3,149098,2.2202506e+07,664289.25,0.029919560998678207,176,0.0011804316623965445
