segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
全客群,DEV-OOS,model_score,低意愿,1,1210,0.00033611111111111114,0.0010083333333333333,0.01465068410219155
全客群,DEV-OOS,model_score,低意愿,2,4683,0.0013008333333333333,0.0039025,0.01746592968872379
全客群,DEV-OOS,model_score,低意愿,3,19300,0.005361111111111111,0.016083333333333335,0.04374492853483955
全客群,DEV-OOS,model_score,低意愿,4,32586,0.009051666666666666,0.027155,0.06796055759941938
全客群,DEV-OOS,model_score,低意愿,5,81893,0.022748055555555556,0.06824416666666666,0.2101949410300176
全客群,DEV-OOS,model_score,低意愿,6,577171,0.16032527777777777,0.4809758333333333,0.44230645438159816
全客群,DEV-OOS,model_score,低意愿,7,483157,0.13421027777777778,0.4026308333333333,0.7619655160993735
全客群,DEV-OOS,model_score,中意愿,1,31225,0.008673611111111111,0.026020833333333333,0.37807240586027363
全客群,DEV-OOS,model_score,中意愿,2,98089,0.027246944444444445,0.08174083333333333,0.36583719351638433
全客群,DEV-OOS,model_score,中意愿,3,178406,0.049557222222222225,0.14867166666666667,0.4043708663309111
全客群,DEV-OOS,model_score,中意愿,4,151803,0.0421675,0.1265025,0.31659659133568585
全客群,DEV-OOS,model_score,中意愿,5,236904,0.06580666666666667,0.19742,0.6080620115244928
全客群,DEV-OOS,model_score,中意愿,6,437924,0.12164555555555556,0.3649366666666667,0.33559657662738945
全客群,DEV-OOS,model_score,中意愿,7,65649,0.018235833333333333,0.0547075,0.10353213172200293
全客群,DEV-OOS,model_score,高意愿,1,50155,0.013931944444444445,0.04179583333333333,0.6072769100375348
全客群,DEV-OOS,model_score,高意愿,2,165350,0.04593055555555556,0.13779166666666667,0.6166968767948918
全客群,DEV-OOS,model_score,高意愿,3,243488,0.06763555555555556,0.20290666666666668,0.5518842051342493
全客群,DEV-OOS,model_score,高意愿,4,295095,0.08197083333333334,0.2459125,0.6154428510648947
全客群,DEV-OOS,model_score,高意愿,5,70808,0.01966888888888889,0.059006666666666666,0.18174304744548966
全客群,DEV-OOS,model_score,高意愿,6,289817,0.08050472222222223,0.24151416666666667,0.22209696899101242
全客群,DEV-OOS,model_score,高意愿,7,85287,0.023690833333333335,0.0710725,0.13450235217862364
全客群,DEV-OOS,model_score,低意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,model_score,中意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,model_score,高意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,model_score,合计,1,82590,0.022941666666666666,,1.0
全客群,DEV-OOS,model_score,合计,2,268122,0.07447833333333333,,1.0
全客群,DEV-OOS,model_score,合计,3,441194,0.12255388888888889,,1.0
全客群,DEV-OOS,model_score,合计,4,479484,0.13319,,1.0
全客群,DEV-OOS,model_score,合计,5,389605,0.10822361111111112,,1.0
全客群,DEV-OOS,model_score,合计,6,1304912,0.36247555555555555,,1.0
全客群,DEV-OOS,model_score,合计,7,634093,0.17613694444444444,,1.0
全客群,DEV-OOS,model_score,合计,合计,3600000,1.0,,
全客群,DEV-OOS,gcard_v2,低意愿,1,2174,0.0006041134177091374,0.0018123402531274124,0.026327899823188897
全客群,DEV-OOS,gcard_v2,低意愿,2,10051,0.002792982502941371,0.008378947508824112,0.03749156057548483
全客群,DEV-OOS,gcard_v2,低意愿,3,37725,0.010483062871700649,0.031449188615101945,0.08555023142216346
全客群,DEV-OOS,gcard_v2,低意愿,4,48423,0.013455834418458861,0.04036750325537658,0.10104502714816932
全客群,DEV-OOS,gcard_v2,低意愿,5,130995,0.036401029049129924,0.10920308714738979,0.33631060882245717
全客群,DEV-OOS,gcard_v2,低意愿,6,596830,0.1658477511919708,0.4975432535759124,0.45758679566571775
全客群,DEV-OOS,gcard_v2,低意愿,7,373356,0.10374855988142259,0.3112456796442678,0.588884945702321
全客群,DEV-OOS,gcard_v2,中意愿,1,26928,0.007482781100308948,0.022448343300926845,0.3261074914622036
全客群,DEV-OOS,gcard_v2,中意愿,2,90710,0.025206590671755225,0.07561977201526568,0.3383603084073454
全客群,DEV-OOS,gcard_v2,中意愿,3,163896,0.04554359370232603,0.1366307811069781,0.37167238513364886
全客群,DEV-OOS,gcard_v2,中意愿,4,142021,0.039464945582552625,0.11839483674765788,0.29635742933337783
全客群,DEV-OOS,gcard_v2,中意愿,5,181568,0.05045430773993223,0.1513629232197967,0.4661494303040261
全客群,DEV-OOS,gcard_v2,中意愿,6,418530,0.1163015587460006,0.3489046762380018,0.3208850117956082
全客群,DEV-OOS,gcard_v2,中意愿,7,175901,0.04887955579045768,0.14663866737137302,0.27744418419413097
全客群,DEV-OOS,gcard_v2,高意愿,1,53472,0.014858855874766787,0.044576567624300366,0.6475646087146075
全客群,DEV-OOS,gcard_v2,高意愿,2,167326,0.0464967257275065,0.1394901771825195,0.6241481310171698
全客群,DEV-OOS,gcard_v2,高意愿,3,239348,0.06651027520784114,0.19953082562352342,0.5427773834441877
全客群,DEV-OOS,gcard_v2,高意愿,4,288778,0.08024593585060225,0.24073780755180677,0.6025975435184528
全客群,DEV-OOS,gcard_v2,高意愿,5,76943,0.02138100216135886,0.06414300648407659,0.19753996087351672
全客群,DEV-OOS,gcard_v2,高意愿,6,288939,0.08029067470076379,0.24087202410229136,0.22152819253867403
全客群,DEV-OOS,gcard_v2,高意愿,7,84748,0.023549863810494013,0.07064959143148203,0.13367087010354808
