segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
全客群,DEV-OOS,model_score,低意愿,1,1210,2,0.001652892561983471
全客群,DEV-OOS,model_score,低意愿,2,4683,15,0.0032030749519538757
全客群,DEV-OOS,model_score,低意愿,3,19300,63,0.0032642487046632123
全客群,DEV-OOS,model_score,低意愿,4,32586,111,0.003406370834100534
全客群,DEV-OOS,model_score,低意愿,5,81893,303,0.003699949934670851
全客群,DEV-OOS,model_score,低意愿,6,577171,1828,0.0031671722938262665
全客群,DEV-OOS,model_score,低意愿,7,483157,1753,0.003628220226551618
全客群,DEV-OOS,model_score,中意愿,1,31225,1578,0.05053642914331465
全客群,DEV-OOS,model_score,中意愿,2,98089,4901,0.04996482786041248
全客群,DEV-OOS,model_score,中意愿,3,178406,7959,0.04461172830510184
全客群,DEV-OOS,model_score,中意愿,4,151803,7339,0.04834555311818607
全客群,DEV-OOS,model_score,中意愿,5,236904,6365,0.02686742309120994
全客群,DEV-OOS,model_score,中意愿,6,437924,12470,0.02847526054749226
全客群,DEV-OOS,model_score,中意愿,7,65649,2515,0.03830979908300203
全客群,DEV-OOS,model_score,高意愿,1,50155,21785,0.4343535041371748
全客群,DEV-OOS,model_score,高意愿,2,165350,77391,0.4680435439975809
全客群,DEV-OOS,model_score,高意愿,3,243488,112972,0.4639735839137863
全客群,DEV-OOS,model_score,高意愿,4,295095,146337,0.49589793117470643
全客群,DEV-OOS,model_score,高意愿,5,70808,32021,0.45222291266523557
全客群,DEV-OOS,model_score,高意愿,6,289817,140883,0.4861102005748455
全客群,DEV-OOS,model_score,高意愿,7,85287,46309,0.5429784140607595
全客群,DEV-OOS,model_score,低意愿,合计,1200000,4075,0.003395833333333333
全客群,DEV-OOS,model_score,中意愿,合计,1200000,43127,0.03593916666666667
全客群,DEV-OOS,model_score,高意愿,合计,1200000,577698,0.481415
全客群,DEV-OOS,model_score,合计,1,82590,23365,0.2829034992129798
全客群,DEV-OOS,model_score,合计,2,268122,82307,0.3069759288682018
全客群,DEV-OOS,model_score,合计,3,441194,120994,0.2742421701111076
全客群,DEV-OOS,model_score,合计,4,479484,153787,0.32073437278407624
全客群,DEV-OOS,model_score,合计,5,389605,38689,0.09930314036010832
全客群,DEV-OOS,model_score,合计,6,1304912,155181,0.11892066284929559
全客群,DEV-OOS,model_score,合计,7,634093,50577,0.07976274773574224
全客群,DEV-OOS,model_score,合计,合计,3600000,624900,0.17358333333333334
全客群,DEV-OOS,gcard_v2,低意愿,1,2174,6,0.0027598896044158236
全客群,DEV-OOS,gcard_v2,低意愿,2,10051,69,0.006864988558352402
全客群,DEV-OOS,gcard_v2,低意愿,3,37725,225,0.005964214711729622
全客群,DEV-OOS,gcard_v2,低意愿,4,48423,245,0.005059579125622122
全客群,DEV-OOS,gcard_v2,低意愿,5,130995,643,0.004908584297110577
全客群,DEV-OOS,gcard_v2,低意愿,6,596830,1698,0.002845031248429201
全客群,DEV-OOS,gcard_v2,低意愿,7,373356,562,0.0015052657517222168
全客群,DEV-OOS,gcard_v2,中意愿,1,26928,1486,0.05518419489007724
全客群,DEV-OOS,gcard_v2,中意愿,2,90710,5382,0.059331936941902766
全客群,DEV-OOS,gcard_v2,中意愿,3,163896,9935,0.0606177087909406
全客群,DEV-OOS,gcard_v2,中意愿,4,142021,9914,0.06980657790045135
全客群,DEV-OOS,gcard_v2,中意愿,5,181568,6288,0.03463165315474093
全客群,DEV-OOS,gcard_v2,中意愿,6,418530,15160,0.03622201514825699
全客群,DEV-OOS,gcard_v2,中意愿,7,175901,4176,0.023740626829864525
全客群,DEV-OOS,gcard_v2,高意愿,1,53472,21870,0.4089991023339318
全客群,DEV-OOS,gcard_v2,高意愿,2,167326,76851,0.45928905250827723
全客群,DEV-OOS,gcard_v2,高意愿,3,239348,110718,0.46258168023129503
全客群,DEV-OOS,gcard_v2,高意愿,4,288778,143514,0.496969990788772
全客群,DEV-OOS,gcard_v2,高意愿,5,76943,31707,0.41208427017402494
全客群,DEV-OOS,gcard_v2,高意愿,6,288939,138007,0.4776336873873032
全客群,DEV-OOS,gcard_v2,高意愿,7,84748,45782,0.5402133383678671
全客群,DEV-OOS,gcard_v2,低意愿,合计,1199554,3448,0.0028744016526142217
全客群,DEV-OOS,gcard_v2,中意愿,合计,1199554,52341,0.04363371719822534
全客群,DEV-OOS,gcard_v2,高意愿,合计,1199554,568449,0.4738836267479413
全客群,DEV-OOS,gcard_v2,合计,1,82574,23362,0.2829219851284908
全客群,DEV-OOS,gcard_v2,合计,2,268087,82302,0.30699735533614086
全客群,DEV-OOS,gcard_v2,合计,3,440969,120878,0.274119042381664
全客群,DEV-OOS,gcard_v2,合计,4,479222,153673,0.32067183893894685
全客群,DEV-OOS,gcard_v2,合计,5,389506,38638,0.0991974449687553
全客群,DEV-OOS,gcard_v2,合计,6,1304299,154865,0.11873427795313804
全客群,DEV-OOS,gcard_v2,合计,7,634005,50520,0.07968391416471479
全客群,DEV-OOS,gcard_v2,合计,合计,3598662,624238,0.17346391519959362
全客群,DEV-OOS,gcard_v4,低意愿,1,2956,48,0.016238159675236806
全客群,DEV-OOS,gcard_v4,低意愿,2,14298,331,0.023150090921807247
全客群,DEV-OOS,gcard_v4,低意愿,3,46939,759,0.016169922665587252
全客群,DEV-OOS,gcard_v4,低意愿,4,53806,666,0.01237780173214883
全客群,DEV-OOS,gcard_v4,低意愿,5,147784,1805,0.012213771450224653
全客群,DEV-OOS,gcard_v4,低意愿,6,576116,4322,0.007501961410549264
全客群,DEV-OOS,gcard_v4,低意愿,7,387162,1884,0.004866180048661801
全客群,DEV-OOS,gcard_v4,中意愿,1,26030,1900,0.072992700729927
全客群,DEV-OOS,gcard_v4,中意愿,2,81851,5527,0.0675251371394363
全客群,DEV-OOS,gcard_v4,中意愿,3,149098,9736,0.06529933332439067
全客群,DEV-OOS,gcard_v4,中意愿,4,124405,8503,0.06834934287207106
全客群,DEV-OOS,gcard_v4,中意愿,5,180197,8089,0.04488975954094685
全客群,DEV-OOS,gcard_v4,中意愿,6,443907,15030,0.03385844332258784
全客群,DEV-OOS,gcard_v4,中意愿,7,165398,3723,0.02250934110448736
全客群,DEV-OOS,gcard_v4,高意愿,1,53591,21416,0.39961933906812713
全客群,DEV-OOS,gcard_v4,高意愿,2,171951,76449,0.4445975888479858
全客群,DEV-OOS,gcard_v4,高意愿,3,245144,110499,0.4507513950983911
全客群,DEV-OOS,gcard_v4,高意愿,4,301247,144618,0.4800645317629719
全客群,DEV-OOS,gcard_v4,高意愿,5,61620,28795,0.46729957805907174
全客群,DEV-OOS,gcard_v4,高意愿,6,284888,135829,0.4767803487686389
全客群,DEV-OOS,gcard_v4,高意愿,7,81533,44970,0.5515558117572026
全客群,DEV-OOS,gcard_v4,低意愿,合计,1229061,9815,0.00798577125138622
全客群,DEV-OOS,gcard_v4,中意愿,合计,1170886,52508,0.044844673179113934
全客群,DEV-OOS,gcard_v4,高意愿,合计,1199974,562576,0.46882349117564215
全客群,DEV-OOS,gcard_v4,合计,1,82577,23364,0.2829359264686293
全客群,DEV-OOS,gcard_v4,合计,2,268100,82307,0.3070011189854532
全客群,DEV-OOS,gcard_v4,合计,3,441181,120994,0.27425025103075606
全客群,DEV-OOS,gcard_v4,合计,4,479458,153787,0.3207517655352502
全客群,DEV-OOS,gcard_v4,合计,5,389601,38689,0.09930415989692018
全客群,DEV-OOS,gcard_v4,合计,6,1304911,155181,0.11892075398245551
全客群,DEV-OOS,gcard_v4,合计,7,634093,50577,0.07976274773574224
全客群,DEV-OOS,gcard_v4,合计,合计,3599921,624899,0.17358686482286695
全客群,DEV-OOS,gcard_v5,低意愿,1,2043,8,0.003915810083210965
全客群,DEV-OOS,gcard_v5,低意愿,2,10081,98,0.009721257811725028
全客群,DEV-OOS,gcard_v5,低意愿,3,36644,301,0.00821416875886912
全客群,DEV-OOS,gcard_v5,低意愿,4,45075,269,0.005967831392124237
全客群,DEV-OOS,gcard_v5,低意愿,5,127082,669,0.00526431752726586
全客群,DEV-OOS,gcard_v5,低意愿,6,590832,1590,0.002691120318466163
全客群,DEV-OOS,gcard_v5,低意愿,7,388697,587,0.0015101737342968944
全客群,DEV-OOS,gcard_v5,中意愿,1,30432,2124,0.06979495268138801
全客群,DEV-OOS,gcard_v5,中意愿,2,100337,7057,0.07033297786459632
全客群,DEV-OOS,gcard_v5,中意愿,3,176089,11785,0.06692638381727421
全客群,DEV-OOS,gcard_v5,中意愿,4,152821,11228,0.07347157785906387
全客群,DEV-OOS,gcard_v5,中意愿,5,184477,6009,0.032573166302574307
全客群,DEV-OOS,gcard_v5,中意愿,6,402587,13119,0.03258674522525566
全客群,DEV-OOS,gcard_v5,中意愿,7,152803,3338,0.02184512084186829
全客群,DEV-OOS,gcard_v5,高意愿,1,50115,21233,0.42368552329641823
全客群,DEV-OOS,gcard_v5,高意愿,2,157704,75152,0.47653832496322224
全客群,DEV-OOS,gcard_v5,高意愿,3,228461,108908,0.476702807043653
全客群,DEV-OOS,gcard_v5,高意愿,4,281588,142290,0.5053127263945907
全客群,DEV-OOS,gcard_v5,高意愿,5,78046,32011,0.4101555492914435
全客群,DEV-OOS,gcard_v5,高意愿,6,311493,140472,0.45096358505648604
全客群,DEV-OOS,gcard_v5,高意愿,7,92593,46652,0.5038393831067143
全客群,DEV-OOS,gcard_v5,低意愿,合计,1200454,3522,0.0029338900116122734
全客群,DEV-OOS,gcard_v5,中意愿,合计,1199546,54660,0.0455672396056508
全客群,DEV-OOS,gcard_v5,高意愿,合计,1200000,566718,0.472265
全客群,DEV-OOS,gcard_v5,合计,1,82590,23365,0.2829034992129798
全客群,DEV-OOS,gcard_v5,合计,2,268122,82307,0.3069759288682018
全客群,DEV-OOS,gcard_v5,合计,3,441194,120994,0.2742421701111076
全客群,DEV-OOS,gcard_v5,合计,4,479484,153787,0.32073437278407624
全客群,DEV-OOS,gcard_v5,合计,5,389605,38689,0.09930314036010832
全客群,DEV-OOS,gcard_v5,合计,6,1304912,155181,0.11892066284929559
全客群,DEV-OOS,gcard_v5,合计,7,634093,50577,0.07976274773574224
全客群,DEV-OOS,gcard_v5,合计,合计,3600000,624900,0.17358333333333334
全客群,DEV-OOS,gcard_v6,低意愿,1,1894,4,0.0021119324181626186
全客群,DEV-OOS,gcard_v6,低意愿,2,7589,36,0.004743707998418764
全客群,DEV-OOS,gcard_v6,低意愿,3,32399,145,0.004475446773048551
全客群,DEV-OOS,gcard_v6,低意愿,4,43585,152,0.0034874383388780543
