mdl_month,score_column,score_decile,lower_bound,upper_bound,n_samples,pct,bad,bad_rate,baseline_pct,psi_component,month_psi
2025-06,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",115390,0.096158,129,0.001118,0.1,0.00015,0.00015
2025-06,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",115757,0.096464,334,0.002885,0.1,0.000127,0.000278
2025-06,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",115417,0.096181,507,0.004393,0.1,0.000149,0.000426
2025-06,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",116335,0.096946,816,0.007014,0.1,9.5e-05,0.000521
2025-06,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",116384,0.096987,1442,0.01239,0.1,9.2e-05,0.000613
2025-06,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",117936,0.09828,3920,0.033238,0.1,3e-05,0.000643
2025-06,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",120708,0.10059,11965,0.099124,0.1,3e-06,0.000647
2025-06,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",124740,0.10395,28065,0.224988,0.1,0.000153,0.0008
2025-06,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",127183,0.105986,58027,0.456248,0.1,0.000348,0.001148
2025-06,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",130147,0.108456,104279,0.80124,0.1,0.000686,0.001834
2025-07,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",130587,0.108823,180,0.001378,0.1,0.000746,0.000746
2025-07,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",124183,0.103486,333,0.002682,0.1,0.000119,0.000865
2025-07,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",122767,0.102306,593,0.00483,0.1,5.3e-05,0.000918
2025-07,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",118609,0.098841,851,0.007175,0.1,1.4e-05,0.000931
2025-07,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",114242,0.095202,1652,0.014461,0.1,0.000236,0.001167
2025-07,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",112321,0.093601,4220,0.037571,0.1,0.000423,0.001591
2025-07,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",112077,0.093397,11841,0.105651,0.1,0.000451,0.002042
2025-07,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",115806,0.096505,27110,0.234098,0.1,0.000124,0.002166
2025-07,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",119947,0.099956,55991,0.466798,0.1,0.0,0.002166
2025-07,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",129458,0.107882,104408,0.806501,0.1,0.000598,0.002764
2025-08,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",132064,0.110053,181,0.001371,0.1,0.000963,0.000963
2025-08,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",128402,0.107002,379,0.002952,0.1,0.000474,0.001437
2025-08,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",127791,0.106493,607,0.00475,0.1,0.000408,0.001845
2025-08,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",120875,0.100729,1022,0.008455,0.1,5e-06,0.001851
2025-08,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",114955,0.095796,1790,0.015571,0.1,0.000181,0.002031
2025-08,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",110113,0.091761,4443,0.040349,0.1,0.000708,0.00274
2025-08,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",109182,0.090985,12361,0.113215,0.1,0.000852,0.003591
2025-08,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",111629,0.093024,27456,0.245958,0.1,0.000504,0.004096
2025-08,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",116767,0.097306,56249,0.48172,0.1,7.4e-05,0.004169
2025-08,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",128218,0.106848,104827,0.817569,0.1,0.000454,0.004623
2025-09,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",133072,0.110893,210,0.001578,0.1,0.001126,0.001126
