final_flag,n_samples,positive,bad_rate,segment,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks,ks_uplift_vs_gcard_v2,ks_uplift_vs_gcard_v4,ks_uplift_vs_gcard_v5,ks_uplift_vs_gcard_v6
DEV,3600000,550617,0.152949,全客群,0.9396956936234871,0.7363226242217952,0.9293541852303815,0.7128717018447747,0.9246900810597988,0.7055775239299678,0.9263030758166584,0.7073242302297612,0.9363881095256095,0.7282439956055183,0.023451,0.030745,0.028998,0.008079
DEV-OOS,3600000,624900,0.173583,全客群,0.9341421633919025,0.7216725585037843,0.9251700635607276,0.7019509897022846,0.9201445293406312,0.6911141912374525,0.922193502788889,0.6971757131640206,0.9325716970067972,0.7173952369234982,0.019722,0.030558,0.024497,0.004277
OOT,1200000,154072,0.128393,全客群,0.9369690366196496,0.7369020869885629,0.9286924518180828,0.7182550288446671,0.9229373310041687,0.7083705253756165,0.9274147859129882,0.7136596948385349,0.9357049895237733,0.7335157958585128,0.018647,0.028532,0.023242,0.003386
OOT-OOS,1200000,171478,0.142898,全客群,0.931592942878607,0.7197622034463771,0.9218989368087569,0.6989286182710859,0.9163054091511053,0.6856463085164519,0.9207005511057862,0.6954710773072368,0.9296756473316192,0.7155380354499719,0.020834,0.034116,0.024291,0.004224
DEV,1184621,496651,0.419249,老户次新,0.8333770644719418,0.5074868936005335,0.7994752097718743,0.4517491338685928,0.8055678279248687,0.46608806123253954,0.7871527233322042,0.4325104274157628,0.818806761304673,0.4818188192886669,0.055738,0.041399,0.074976,0.025668
DEV-OOS,1287620,563048,0.437278,老户次新,0.8254408512807504,0.49310129309551715,0.7977414587152603,0.4491717785147647,0.8038469767657259,0.4632753293967982,0.7859689227829783,0.43182140922974577,0.8179005136030737,0.4806421234545273,0.04393,0.029826,0.06128,0.012459
OOT,337008,135506,0.402085,老户次新,0.8058166058712245,0.45870936788224925,0.7772568686402386,0.41576324877664245,0.7851740903161435,0.4313318236372973,0.7730271728643232,0.40836893604513114,0.7996196832345371,0.44944610207120334,0.042946,0.027378,0.05034,0.009263
OOT-OOS,372417,150331,0.403663,老户次新,0.8036166205205847,0.45422545458858676,0.7740757693809619,0.4114066731856836,0.7815110328219135,0.42530520279981515,0.7696562840940422,0.4011272515396145,0.7962632577878641,0.4425895395687429,0.042819,0.02892,0.053098,0.011636
DEV,1057723,460536,0.435403,老户,0.8350506688843722,0.5099207212575452,0.8010794849808796,0.45260944218234495,0.8093990906442345,0.469486513568134,0.7898631983851472,0.43597023418581765,0.8213914481143418,0.4855582525027678,0.057311,0.040434,0.07395,0.024362
DEV-OOS,1129863,516185,0.456856,老户,0.8271134942953753,0.49520422082156107,0.7992456616981581,0.45012291045700964,0.808134106656891,0.4665619170283067,0.7886252512305298,0.4343769441196733,0.820573840129752,0.48349950278681814,0.045081,0.028642,0.060827,0.011705
OOT,309770,127276,0.410873,老户,0.8079129605116513,0.46226522059962033,0.7791746933049426,0.4177547890705702,0.7884693558149922,0.43539090785677426,0.7755820183194491,0.4114048056816354,0.8023798621309657,0.45357968168606927,0.04451,0.026874,0.05086,0.008686
OOT-OOS,327473,136403,0.416532,老户,0.8074818863619834,0.4612665237232435,0.7774756950087542,0.41492281106841655,0.7868227815823041,0.4326046482668743,0.7739211724367169,0.40733388824741407,0.8011279904489332,0.4495759286136999,0.046344,0.028662,0.053933,0.011691
DEV,126898,36115,0.284599,次新,0.786782872468231,0.42961557812209833,0.7391737404756175,0.3513391729719491,0.7266984703048254,0.34595747014663264,0.7051631166352693,0.2995829500994829,0.7602171555572111,0.38640503668356807,0.078276,0.083658,0.130033,0.043211
DEV-OOS,157757,46863,0.297058,次新,0.7785237289326875,0.4152094119506981,0.7380118072200859,0.3540802718361897,0.723388291002932,0.3451044629856634,0.7052053468960007,0.2995639196293187,0.7606418261043938,0.3864330180989286,0.061129,0.070105,0.115645,0.028776
OOT,27238,8230,0.302151,次新,0.7590237122132626,0.3821942465358322,0.7205246142152191,0.3263713920785125,0.7180667646237588,0.3306001361324873,0.7083141689270183,0.30630989676023085,0.7442604265109581,0.36763037165907764,0.055823,0.051594,0.075884,0.014564
OOT-OOS,44944,13928,0.309897,次新,0.7533355938133208,0.37878013563842905,0.7167288179856242,0.3247957870542738,0.7146419974619462,0.3260918157229109,0.7043217985025461,0.30497742396616695,0.7382275156440352,0.3595852289907771,0.053984,0.052688,0.073803,0.019195
DEV,2415379,53966,0.022343,流失户,0.8837941976050769,0.610244397746388,0.8748971976971789,0.5871987731771475,0.801678484000195,0.5252168483579865,0.8806714621699342,0.6015339790701899,0.8891173221672087,0.6194423993990944,0.023046,0.085028,0.00871,-0.009198
DEV-OOS,2312380,61852,0.026748,流失户,0.885613986066894,0.6165787914276869,0.8791734519285318,0.5934184857369227,0.8067664164536578,0.5340900219927991,0.8845390800412284,0.6090699453852543,0.8928071472206076,0.6247340383692732,0.02316,0.082489,0.007509,-0.008155
OOT,862992,18566,0.021514,流失户,0.8872436048510535,0.6221231570031556,0.8764943043696014,0.5874515532353564,0.8065456255920731,0.5360768348788563,0.8816947463063038,0.5991078981541057,0.8896594198236369,0.6198251691823418,0.034672,0.086046,0.023015,0.002298
OOT-OOS,827583,21147,0.025553,流失户,0.8958443791021045,0.6402706265827268,0.8819466144601414,0.5973133034988307,0.8198098451873388,0.5674033995171288,0.8882343450872099,0.6161568724089096,0.8974835345388066,0.638712461214489,0.042957,0.072867,0.024114,0.001558
