feature,non_null_rate,unique_count,drop_reason
ord_apl_sum_prc_amt_90_day,1.0,8792,
ord_apl_max_prc_amt_180_day,1.0,5604,
his_90_day_csh_apl_ord_cnt_his_rto,0.9983103125,5251,
unpaid_principal_future_light_add_heavy,1.0,1600067,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4370071875,360,
d180_apl_ord_days_cnt_all,0.4479340625,181,
ord_apl_sum_prc_amt_360_day,1.0,27205,
cnt_event_result_1_uid_recent_days_120,1.0,752,
his_180_day_csh_apl_ord_cnt_his_rto,0.9983103125,7356,
his_360_day_csh_apl_ord_cnt,1.0,238,
cnt_other_info_cash_uid_recent_days_30,1.0,74,
dau_90d,1.0,91,
cnt_avg_ord_span_30d,0.12825697916666667,4908,
ddf_lst_app_str_tim_to_mdl_tim_sec,0.31395927083333336,1637416,
his_720_day_csh_apl_ord_cnt_his_rto,0.9983103125,10434,
rsk_avl_lmt_ch_les_10000_cnt_3m,0.26507114583333335,78,
stg_pln_max_rep_prc_1m_his,1.0,300570,
clk_cnt_14d,1.0,1408,
d30_d60_apl_ord_cnt_rat,0.4370071875,407,
min_rsk_lmt_rate_12m_bt_ch,0.49010927083333333,667800,
rsk_avl_lmt_ch_les_500_cnt_12m,0.450194375,136,
sum_avb_lmt_2m_v2,0.33876697916666665,2504464,
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,0.43224291666666664,2406240,
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,0.3561578125,7,
first_day_diff_event_result_0_event_type_loan_all,0.6114692708333334,3411,
avg_avl_lmt_lft_rep_prc_3m_cash_1m,0.30907083333333335,2471072,
d360_apl_ord_cnt_all,0.4479340625,2470,
6m_used_lmt_first_der_max,0.9990894791666667,2969985,
ord_apl_fal_cnt_his,1.0,339,
d90_aplord_suc_month_cnt,0.26403229166666664,5,
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,0.2110596875,1624921,
stg_pln_sum_prc_amt_6m_12m_rto_ftr,0.226445625,1539533,
ord_apl_min_prc_amt_his,1.0,123284,
ddf_ato_fst_ord_crt_dte,0.9973252083333334,3531,
d30_d360_suc_ord_prc_amt_avg_rat_all,0.3777155208333333,164068,
6m_used_lmt_first_der_min,0.9990894791666667,3467654,
d7_d360_suc_ord_prc_amt_avg_rat_all,0.3777155208333333,74972,
stg_pln_cnt_3m_ftr_adv_rto_all,0.359099375,5696,
rsk_avl_lmt_ch_les_1000_cnt_3m,0.26507114583333335,60,
stg_pln_pay_off_sum_prc_amt_1m,1.0,807668,
max_avl_lmt_lft_rep_prc_1m_cash_3m,0.3335815625,2433717,
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,0.5660942708333333,176,
d180_suc_ord_cnt_all,0.3777155208333333,371,
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,0.9965209375,3559152,
d30_d90_suc_ord_prc_amt_avg_rat_all,0.3777155208333333,81661,
ddf_mdl_lst_ord_crt_dte,0.9973260416666667,3477,
min_avl_lmt_lft_rep_prc_2m_cash_3m,0.33619791666666665,2323940,
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,1.0,1215,
max_con_dau_7d,1.0,8,
pst_ord_apl_suc_max_prc_amt_180_day,1.0,947,
max_amt_other_info_manual_repay,0.901993125,740609,
max_ddf_lag_crt_dte,0.7708570833333334,3126,
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,0.4168509375,9656,
rsk_avl_lmt_ch_les_5000_rate_1m,0.13134322916666666,174,
n_unique_other_info_event_type_credit,1.0,8,
stg_pln_sum_prc_amt_1m_3m_ftr_rto_all,0.34331697916666665,1445457,
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,0.38696145833333334,201,
