feature,gain,split
d360_apl_ord_ddf_mdl_ord_crt_dte_min,2331466.470018983,458
ord_apl_sum_prc_amt_90_day,2261862.901741028,59
ord_apl_max_prc_amt_180_day,1858213.4619431496,97
unpaid_principal_future_light_add_heavy,1851464.8080728054,185
his_90_day_csh_apl_ord_cnt_his_rto,1488565.2666397095,64
d180_apl_ord_days_cnt_all,913489.8355054855,109
his_360_day_csh_apl_ord_cnt,804807.1311721802,152
cnt_event_result_1_uid_recent_days_120,731484.2710869312,151
his_180_day_csh_apl_ord_cnt_his_rto,491328.3720564842,155
d360_apl_ord_cnt_all,300729.80151724815,83
ord_apl_sum_prc_amt_360_day,269005.65514707565,105
dau_90d,236275.71815240383,445
cnt_other_info_cash_uid_recent_days_30,234065.6077349186,112
cnt_avg_ord_span_30d,144646.98203492165,178
stg_pln_pay_off_sum_prc_amt_1m,130206.73445272446,176
ddf_lst_app_str_tim_to_mdl_tim_sec,93691.18523569405,501
his_720_day_csh_apl_ord_cnt_his_rto,88510.89097833633,153
clk_cnt_14d,66581.06362402439,330
cnt_avb_lmt_2m_v2,60108.80470466614,61
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,57697.03620815277,542
rsk_avl_lmt_ch_les_10000_cnt_3m,56534.944690942764,69
first_day_diff_event_result_0_event_type_loan_all,45905.8698348999,358
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,38485.1188659668,170
avg_avl_lmt_lft_rep_prc_3m_cash_1m,35739.773034095764,170
sum_avb_lmt_2m_v2,35189.542439222336,324
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,34472.82745885849,71
rsk_avl_lmt_ch_les_500_cnt_12m,32616.01073741913,89
stg_pln_cnt_3m_ftr_adv_rto_all,31040.073268413544,116
pst_ord_apl_suc_max_prc_amt_180_day,29858.97841501236,78
d90_aplord_suc_month_cnt,27206.424805402756,55
d30_d60_apl_ord_cnt_rat,24649.31000852585,62
stg_pln_sum_prc_amt_6m_12m_rto_ftr,23769.684757471085,128
min_rsk_lmt_rate_12m_bt_ch,21916.17244720459,106
ddf_3m_rep_dte_5_crt_dt_sum_prc_amt,21324.369671821594,52
d180_suc_ord_cnt_all,17870.565223693848,49
