feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,0,Missing,,,True,DEV,2018543,19090,2037633,0.009368713600535523,0.5660091666666667,-2.9492937602871443,1.8500315081677128,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,1,"(-inf, 8]",-inf,8.0,False,DEV,46701,118569,165270,0.7174260301325104,0.045908333333333336,2.6433699037814393,0.5287325282151929,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,2,"(8, 18]",8.0,18.0,False,DEV,53891,102687,156578,0.6558201024409559,0.04349388888888889,2.3563645310738064,0.3978028297125159,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,3,"(18, 31]",18.0,31.0,False,DEV,64783,87506,152289,0.5746048631220902,0.0423025,2.0123090363258287,0.27705089337424893,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,4,"(31, 47]",31.0,47.0,False,DEV,91060,64488,155548,0.41458585131277803,0.043207777777777776,1.3666096938670171,0.11924677012239548,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,5,"(47, 70]",47.0,70.0,False,DEV,104562,50864,155426,0.3272554141520724,0.04317388888888889,0.9910271568203439,0.05756549137281975,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,6,"(70, 103]",70.0,103.0,False,DEV,116543,38618,155161,0.24888986278768505,0.04310027777777778,0.6071137437079954,0.019377508674843662,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,7,"(103, 149]",103.0,149.0,False,DEV,128095,27838,155933,0.17852539231593056,0.04331472222222222,0.18529077653628756,0.001584474271532749,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,8,"(149, 207]",149.0,207.0,False,DEV,135383,19009,154392,0.12312166433493964,0.04288666666666666,-0.2515257363802753,0.0024833843327281965,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,9,"(207, 278]",207.0,278.0,False,DEV,143811,12749,156560,0.08143203883495145,0.04348888888888889,-0.711364457811732,0.017077061160102575,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,10,"(278, inf]",278.0,inf,False,DEV,146011,9199,155210,0.059268088396366214,0.04311388888888889,-1.0528893496656535,0.03282358237178625,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,0,Missing,,,True,OOT,728988,6387,735375,0.008685364609892911,0.6128125,-2.8221056568227643,1.8499400199012355,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,1,"(-inf, 8]",-inf,8.0,False,OOT,11994,28900,40894,0.7067051401183547,0.034078333333333335,2.794620029116298,0.49214221053249224,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,2,"(8, 18]",8.0,18.0,False,OOT,15581,27151,42732,0.6353786389590939,0.03561,2.4705573248831256,0.39855658515737674,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,3,"(18, 31]",18.0,31.0,False,OOT,20238,25096,45334,0.5535800944103764,0.03777833333333333,2.1303510076800443,0.3057748513987163,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,4,"(31, 47]",31.0,47.0,False,OOT,29874,20272,50146,0.4042595620787301,0.04178833333333333,1.5274693586239794,0.15734595237317278,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,5,"(47, 70]",47.0,70.0,False,OOT,35122,15647,50769,0.3081998857570565,0.0423075,1.1066785535704,0.07522756406325491,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,6,"(70, 103]",70.0,103.0,False,OOT,39028,11562,50590,0.22854319035382487,0.04215833333333333,0.6986842988573008,0.026360582847256734,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,7,"(103, 149]",103.0,149.0,False,OOT,41876,7966,49842,0.15982504714899082,0.041535,0.2557297836465765,0.002983614504625446,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,8,"(149, 207]",149.0,207.0,False,OOT,38470,4822,43292,0.11138316548092027,0.03607666666666667,-0.16138990352527371,0.0008847128554704944,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,9,"(207, 278]",207.0,278.0,False,OOT,41250,3479,44729,0.07777951664468243,0.037274166666666664,-0.5575652841192321,0.009398398876973647,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,10,"(278, inf]",278.0,inf,False,OOT,43507,2790,46297,0.060263084001123186,0.038580833333333335,-0.831503201282491,0.01952851558884425,ok,
