score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
model_score,1,185,0,0.0,B2,1,0.0,0.0
model_score,1,96,0,0.0,B2,2,0.0,0.0
model_score,1,752,0,0.0,B2,3,0.0,0.0
model_score,1,2649,0,0.0,B2,4,0.0,0.0
model_score,1,6304,9,0.0014276649746192893,B2,5,32234.04,0.0
model_score,1,83627,101,0.0012077439104595405,B2,6,137695.84999999998,0.0
model_score,1,101091,171,0.00169154524141615,B2,7,192828.77000000002,0.0
model_score,1,1,0,0.0,E3,2,0.0,0.0
model_score,1,1,0,0.0,E3,3,0.0,0.0
model_score,1,10,0,0.0,E3,4,0.0,0.0
model_score,1,1,0,0.0,E3,5,0.0,0.0
model_score,1,25,0,0.0,E3,6,0.0,0.0
model_score,1,1,0,0.0,E3,7,0.0,0.0
model_score,2,269,0,0.0,B2,1,0.0,0.0
model_score,2,1660,6,0.0036144578313253013,B2,2,41263.880000000005,0.0
model_score,2,6748,19,0.002815649081209247,B2,3,66027.18000000001,1440.92
model_score,2,8795,26,0.002956225127913587,B2,4,11363.369999999999,0.0
model_score,2,26372,77,0.0029197633854087667,B2,5,95855.49,2091.0
model_score,2,110850,475,0.004285069914298602,B2,6,526162.28,37686.81
model_score,2,39769,258,0.006487465111016118,B2,7,134924.62,610.34
model_score,2,1,0,0.0,E3,2,0.0,0.0
model_score,2,32,0,0.0,E3,3,0.0,0.0
model_score,2,102,1,0.00980392156862745,E3,4,0.0,0.0
model_score,2,23,1,0.043478260869565216,E3,5,0.0,0.0
model_score,2,116,2,0.017241379310344827,E3,6,0.0,0.0
model_score,2,6,0,0.0,E3,7,0.0,0.0
model_score,3,3304,51,0.015435835351089588,B2,1,446493.39,0.0
model_score,3,13283,209,0.015734397349996238,B2,2,822523.83,12772.160000000002
model_score,3,25938,395,0.015228622098851107,B2,3,1337647.1099999999,14239.68
model_score,3,19900,308,0.015477386934673367,B2,4,717719.1000000001,15057.04
model_score,3,47321,776,0.01639863908201433,B2,5,1355351.06,53033.94
model_score,3,72669,1443,0.0198571605498906,B2,6,1359145.35,22715.3
model_score,3,8487,245,0.02886767998114764,B2,7,85210.61,327.8
model_score,3,1,0,0.0,E2,2,0.0,0.0
model_score,3,12,0,0.0,E2,3,0.0,0.0
model_score,3,14,0,0.0,E2,4,0.0,0.0
model_score,3,7,0,0.0,E2,5,0.0,0.0
model_score,3,33,0,0.0,E2,6,0.0,0.0
model_score,3,3,0,0.0,E2,7,0.0,0.0
model_score,3,19,1,0.05263157894736842,E3,1,23919.7,0.0
model_score,3,289,12,0.04152249134948097,E3,2,108714.5,0.0
model_score,3,971,36,0.037075180226570546,E3,3,95922.29000000001,0.0
model_score,3,1330,32,0.02406015037593985,E3,4,46959.649999999994,4128.72
model_score,3,232,2,0.008620689655172414,E3,5,0.0,0.0
model_score,3,790,20,0.02531645569620253,E3,6,975.84,0.0
model_score,3,140,3,0.02142857142857143,E3,7,0.0,0.0
model_score,4,6126,604,0.09859614756774404,B2,1,4487516.71,87308.31000000001
model_score,4,10707,1067,0.09965443168020921,B2,2,3698471.6599999997,153781.88
model_score,4,11188,1190,0.10636396138720057,B2,3,2592923.82,59767.07
model_score,4,5730,576,0.10052356020942409,B2,4,671791.89,2174.27
model_score,4,10964,1287,0.11738416636264137,B2,5,1385453.9900000002,52603.89
model_score,4,14865,1895,0.12748065926673394,B2,6,853104.1100000001,21940.44
model_score,4,3708,452,0.12189859762675297,B2,7,112463.66,634.8900000000001
model_score,4,133,11,0.08270676691729323,E2,1,82051.87,0.0
model_score,4,538,82,0.1524163568773234,E2,2,572002.81,335.48
model_score,4,4939,809,0.16379833974488764,E2,3,1472350.37,25386.489999999998
model_score,4,5141,830,0.16144718926278934,E2,4,819434.7,7787.549999999999
model_score,4,1974,305,0.15450861195542046,E2,5,192627.87,9746.529999999999
model_score,4,9827,1527,0.1553882161392083,E2,6,741526.68,8487.990000000002
model_score,4,489,95,0.19427402862985685,E2,7,7786.7,410.73
model_score,4,4301,628,0.14601255521971634,E3,1,4619591.4,28782.54
model_score,4,18850,2704,0.14344827586206896,E3,2,12368042.770000001,123142.92000000001
model_score,4,28908,3931,0.1359831188598312,E3,3,9578748.41,245325.72999999998
model_score,4,32142,4834,0.1503951216476884,E3,4,7046577.2700000005,156527.33
model_score,4,4317,704,0.16307621033124856,E3,5,817044.62,39582.93
model_score,4,16448,2630,0.15989785992217898,E3,6,2015950.8599999999,102023.1
model_score,4,3448,511,0.14820185614849188,E3,7,126365.87,1124.94
model_score,5,414,235,0.5676328502415459,B2,1,592557.14,2000.0
model_score,5,774,399,0.5155038759689923,B2,2,200583.34,3161.85
model_score,5,993,514,0.5176233635448136,B2,3,175378.60000000003,9240.34
model_score,5,566,279,0.4929328621908127,B2,4,104497.30000000002,3977.9
model_score,5,1271,658,0.5177025963808025,B2,5,170083.96000000002,1093.54
model_score,5,2598,1386,0.5334872979214781,B2,6,353300.75,26074.57
model_score,5,990,530,0.5353535353535354,B2,7,82952.72,12237.130000000001
model_score,5,196,105,0.5357142857142857,E2,1,708958.13,25439.55
model_score,5,632,324,0.5126582278481012,E2,2,1737343.56,74185.36000000002
model_score,5,3676,2033,0.5530467899891186,E2,3,4333466.41,59858.630000000005
model_score,5,2659,1514,0.5693869875893193,E2,4,1811577.54,60683.02000000001
model_score,5,938,511,0.5447761194029851,E2,5,469937.79,7770.72
model_score,5,4574,2454,0.5365107127240927,E2,6,1353012.23,72077.24
model_score,5,345,187,0.5420289855072464,E2,7,38604.47,4882.63
model_score,5,7782,4638,0.5959907478797224,E3,1,49257393.55,876393.09
model_score,5,27257,17012,0.6241332501742671,E3,2,99406523.96000001,3024072.19
model_score,5,34894,21870,0.6267553161001892,E3,3,62501292.68,2283594.0700000003
model_score,5,46104,29326,0.6360836369946209,E3,4,48915621.589999996,1945615.8
model_score,5,7967,5000,0.6275888038157399,E3,5,5835966.29,287246.43
