champion,split,rows,model_auc,champion_auc,model_ks,champion_ks
gcard_v2,DEV,364928,0.946072428067811,0.9292208260205501,0.749901220039247,0.7136370327558772
gcard_v2,DEV-OOS,364687,0.9333681889660738,0.9260616762859801,0.7211682617379158,0.7029652053085593
gcard_v2,OOT,243768,0.9329994535273411,0.9248137846086918,0.7271614581902365,0.7074654197762206
gcard_v4,DEV,365042,0.9460610999242647,0.9246031120607758,0.7498646365925848,0.707026064378672
gcard_v4,DEV-OOS,364817,0.9333634753587129,0.9214902975600452,0.7211576574259788,0.6943712704701916
gcard_v4,OOT,243837,0.9330152067310498,0.9200384365315638,0.7271949583817506,0.6971115563609049
gcard_v5,DEV,365051,0.9460625900553669,0.9260800577324911,0.7498688919080584,0.7084929862207363
gcard_v5,DEV-OOS,364823,0.9333647540662424,0.9235418674329696,0.7211610454333424,0.7003486911736339
gcard_v5,OOT,243841,0.9330163889277083,0.9236044419436333,0.727198180613256,0.7031774067257355
gcard_v6,DEV,365051,0.9460625900553669,0.9364342470676208,0.7498688919080584,0.7296092953841975
gcard_v6,DEV-OOS,364823,0.9333647540662424,0.9335425779986268,0.7211610454333424,0.7195937848017844
gcard_v6,OOT,243841,0.9330163889277083,0.9326897689354949,0.727198180613256,0.7247908617021699
