model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v6,1,48225,24,0.0004976671850699844
1,gcard_v6,2,23920,12,0.0005016722408026755
1,gcard_v6,3,10835,12,0.0011075219197046607
1,gcard_v6,4,6818,10,0.0014667057788207685
1,gcard_v6,5,5026,22,0.004377238360525269
1,gcard_v6,6,2311,16,0.006923409779316313
1,gcard_v6,7,237,1,0.004219409282700422
2,gcard_v6,1,22906,15,0.0006548502575744347
2,gcard_v6,2,28168,29,0.00102953706333428
2,gcard_v6,3,19403,30,0.0015461526568056486
2,gcard_v6,4,13173,20,0.0015182570409170272
2,gcard_v6,5,9115,45,0.004936917169500823
2,gcard_v6,6,3993,38,0.009516654144753318
2,gcard_v6,7,613,7,0.011419249592169658
3,gcard_v6,1,15109,16,0.0010589714739559202
3,gcard_v6,2,22125,39,0.0017627118644067796
3,gcard_v6,3,22365,38,0.0016990833892242343
3,gcard_v6,4,17912,56,0.0031263957123715946
3,gcard_v6,5,12860,80,0.006220839813374806
3,gcard_v6,6,5975,97,0.016234309623430962
3,gcard_v6,7,1026,19,0.018518518518518517
4,gcard_v6,1,9629,22,0.0022847647730813167
4,gcard_v6,2,15484,39,0.0025187290105915783
4,gcard_v6,3,21923,77,0.0035122930255895636
4,gcard_v6,4,23233,99,0.004261180217793655
4,gcard_v6,5,16988,100,0.00588650812338121
4,gcard_v6,6,8523,138,0.016191481872580078
4,gcard_v6,7,1591,45,0.028284098051539912
5,gcard_v6,1,1392,12,0.008620689655172414
5,gcard_v6,2,6836,44,0.006436512580456407
5,gcard_v6,3,18855,91,0.0048263060196234425
5,gcard_v6,4,26711,185,0.006925985549024747
5,gcard_v6,5,26614,299,0.011234688509806868
5,gcard_v6,6,14210,286,0.020126671358198452
5,gcard_v6,7,2754,92,0.03340595497458242
6,gcard_v6,1,110,1,0.00909090909090909
6,gcard_v6,2,829,14,0.016887816646562123
6,gcard_v6,3,3961,60,0.015147689977278465
6,gcard_v6,4,9445,145,0.015352038115404976
6,gcard_v6,5,26289,554,0.021073452774924874
6,gcard_v6,6,44839,1188,0.02649479247976092
6,gcard_v6,7,11849,558,0.04709258165246012
6,gcard_v6,8,49,4,0.08163265306122448
7,gcard_v6,1,1,0,0.0
7,gcard_v6,2,9,0,0.0
7,gcard_v6,3,30,3,0.1
7,gcard_v6,4,78,11,0.14102564102564102
7,gcard_v6,5,466,53,0.11373390557939914
7,gcard_v6,6,17281,1023,0.05919796308084023
7,gcard_v6,7,62593,4618,0.07377821801159874
7,gcard_v6,8,16515,1690,0.1023312140478353
7,gcard_v6,9,398,43,0.10804020100502512
8,gcard_v6,4,1,1,1.0
8,gcard_v6,5,14,2,0.14285714285714285
8,gcard_v6,6,231,65,0.2813852813852814
8,gcard_v6,7,16452,3012,0.18307804522246535
8,gcard_v6,8,65081,12748,0.19587898157680428
8,gcard_v6,9,15521,3392,0.21854261967656724
8,gcard_v6,10,72,11,0.1527777777777778
9,gcard_v6,6,8,3,0.375
9,gcard_v6,7,255,115,0.45098039215686275
9,gcard_v6,8,15638,6579,0.4207059726307712
9,gcard_v6,9,70895,31240,0.44065166795965865
9,gcard_v6,10,10575,4571,0.4322458628841608
10,gcard_v6,7,1,1,1.0
10,gcard_v6,8,89,58,0.651685393258427
10,gcard_v6,9,10557,7672,0.7267216065170029
10,gcard_v6,10,86725,70518,0.8131219371576823
