decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,97339,0.10000071914138628,97,0.0009965173260460863,97,0.0009965173260460863,0.0063838429983133224,151848,0.1733337594915324,1.1104026773842266
2,97338,0.09999969179654873,177,0.0018184059668372064,274,0.0014074595355383533,0.009016401889373978,151671,0.19477312361789945,1.2477465358291608
3,97338,0.09999969179654873,316,0.003246419692206538,590,0.002020444155265997,0.012943275482479068,151355,0.22213400100973335,1.4230245174560354
4,97338,0.09999969179654873,645,0.0066263946249152435,1235,0.003171928815239641,0.02031986301598873,150710,0.2580518124068969,1.6531195321732373
5,97339,0.10000071914138628,1430,0.014690925528308283,2665,0.005475742358616949,0.03507844630792486,149280,0.30672438980790684,1.9649235363084656
6,97338,0.09999969179654873,3475,0.035700343134233294,6140,0.010513158570621373,0.06734890801900124,145805,0.37448022745426385,2.398977835664969
7,97338,0.09999969179654873,9450,0.09708438636503729,15590,0.022880440525530992,0.14657561512430772,136355,0.46694519117168637,2.9913225905312424
8,97338,0.09999969179654873,21537,0.22125993959193738,37127,0.04767781422000087,0.30543139845935774,114818,0.5897871859541702,3.7782672705625595
9,97338,0.09999969179654873,42842,0.44013643181491297,79969,0.0912842277328536,0.5847807788560877,71976,0.7394364026751867,4.736943130377316
10,97339,0.10000071914138628,71976,0.7394364026751867,151945,0.1560999113401405,1.0,0,0.0,0.0
