decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,97372,0.1000005134972759,97,0.0009961795998849772,97,0.0009961795998849772,0.006377015141228605,152011,0.17346061987144304,1.1104031837781194
2,97371,0.0999994865027241,184,0.0018896796787544546,281,0.0014429273452704334,0.009236858021931787,151827,0.1949068772690161,1.2476907854945172
3,97372,0.1000005134972759,345,0.0035431130099001767,626,0.0021429916300087296,0.013718299464945632,151482,0.22224471830985915,1.422693190950407
4,97371,0.0999994865027241,520,0.005340399092132154,1146,0.0029423393908895312,0.018835301233334212,150962,0.2583952525465186,1.6541097991777773
5,97372,0.1000005134972759,1009,0.010362321817360227,2155,0.004426341972402631,0.028335101202159176,149953,0.3080021443668264,1.971666894589005
6,97371,0.0999994865027241,2524,0.02592147559334915,4679,0.008008845846406118,0.05126839701615519,147429,0.3785219494410582,2.4230974044757674
7,97371,0.0999994865027241,7441,0.07641905700876031,12120,0.01778169014084507,0.11382897951122202,139988,0.47922222412406074,3.06772732507797
8,97372,0.1000005134972759,19231,0.19750030809678348,31351,0.0402466327416133,0.2576376653430457,120757,0.6200839054548816,3.9694493386278173
9,97371,0.0999994865027241,42508,0.4365570857852954,73859,0.08428092653219116,0.53952193427231,78249,0.803608840323707,5.144278946247393
10,97372,0.1000005134972759,78249,0.803608840323707,152108,0.15621408728426694,1.0,0,0.0,0.0
