decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,65097,0.10000107532993427,52,0.0007988079327772401,52,0.0007988079327772401,0.033245598641037696,15589,0.026608473610006383,1.107418439140118
2,65096,0.09999953914431389,92,0.0014132972840113064,144,0.0011060502484772606,0.046032720919346785,15497,0.029757858555600362,1.2384927356901272
3,65096,0.09999953914431389,138,0.0021199459260169595,282,0.0014440137437336461,0.0600984284036881,15359,0.03370611445902114,1.4028152539216023
4,65096,0.09999953914431389,197,0.0030262996190242105,479,0.0018395836933771147,0.07656165972711763,15162,0.038819390749094934,1.6156247720863812
5,65097,0.10000107532993427,309,0.0047467625236186,788,0.002421024818576757,0.10076066613229216,14853,0.045634000141329296,1.8992420966690202
6,65096,0.09999953914431389,362,0.005561017574044488,1150,0.0029443542647051295,0.12254112174510871,14491,0.055652207308408704,2.31619000230827
7,65096,0.09999953914431389,597,0.009171070419073368,1747,0.0038338812396581765,0.15956235748427886,13894,0.07114584026750098,2.961019731350505
8,65096,0.09999953914431389,1014,0.015576993978124617,2761,0.005301764694586862,0.22065421973546112,12880,0.09893005000268831,4.117371148897129
9,65096,0.09999953914431389,2064,0.03170701732825366,4825,0.00823567163822444,0.3427605342774437,10816,0.16615205001766595,6.915084517335841
10,65097,0.10000107532993427,10816,0.16615205001766595,15641,0.02402747928837737,1.0,0,0.0,0.0
