decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,67956,0.10439303001860321,50,0.0007357702042498086,50,0.0007357702042498086,0.030622030526760963,15591,0.026742389027919047,1.1129918668103873
2,62602,0.09616829220708396,90,0.001437653749081499,140,0.0010723203480445473,0.04462891571665,15501,0.02978641634880526,1.23968128288903
3,65023,0.09988739759402608,135,0.0020761884256340064,275,0.001406067051502958,0.058519124483570106,15366,0.03374309920023189,1.4043545223886296
4,64804,0.09955097294316267,190,0.00293191778285291,465,0.0017858171553660925,0.07432394942194091,15176,0.03885523506188265,1.6171165770467564
5,65109,0.10001950955737884,314,0.0048226819640909855,779,0.002393285283292472,0.09960617402134887,14862,0.04566333506416894,1.900462987237172
6,65084,0.09998110491686932,414,0.006361010386577346,1193,0.0030544475111245386,0.12712309412340408,14448,0.05548706722737485,2.3093170349423704
7,65096,0.09999953914431389,717,0.011014501659088117,1910,0.0041915931126199875,0.17444997297937762,13731,0.07031117984115849,2.926281987273196
8,65097,0.10000107532993427,1317,0.020231347066685102,3227,0.006196581606886712,0.2578956174518122,12414,0.09535148088976281,3.968434630422778
9,65095,0.0999980029586935,2528,0.03883554804516476,5755,0.009823065342586871,0.40882629528843284,9886,0.1518656773737653,6.3204997724095895
10,65097,0.10000107532993427,9886,0.1518656773737653,15641,0.02402747928837737,1.0,0,0.0,0.0
