decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32244,0.1000003101361808,2830,0.08776826696439648,2830,0.08776826696439648,0.2076234903724985,133474,0.4599458984475956,1.0880421377915854
2,32244,0.1000003101361808,4656,0.14439895794566432,7486,0.11608361245503039,0.2746059097046862,128818,0.4993894189206477,1.1813492256086007
3,32244,0.1000003101361808,6451,0.2000682297481702,13937,0.144078484886077,0.3408302220637823,122367,0.542149778252336,1.2825025850298228
4,32244,0.1000003101361808,8576,0.2659719637762064,22513,0.17455185460860936,0.412917635932514,113791,0.5881796519231067,1.3913902657767534
5,32244,0.1000003101361808,11102,0.3443121200843568,33615,0.20850390770375885,0.4932341787188365,102689,0.6369534608203747,1.5067689646192393
6,32243,0.09999720877437283,13994,0.434016685792265,47609,0.24608839933217205,0.582143571665294,88695,0.6876860811313733,1.6267814027021867
7,32244,0.1000003101361808,16980,0.5266096017863788,64589,0.2861630343764261,0.6769436160442867,71715,0.7413782409130381,1.7537948895245852
8,32244,0.1000003101361808,20082,0.622813546706364,84671,0.32824451155452006,0.7764910205212459,51633,0.8006605880163752,1.8940324520147023
9,32244,0.1000003101361808,23485,0.7283525617169085,108156,0.3727011147676562,0.8816569927850122,28148,0.8729686143158417,2.0650833947014444
10,32244,0.1000003101361808,28148,0.8729686143158417,136304,0.4227280198735265,1.0,0,0.0,0.0
