decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32276,0.10000247868332342,1817,0.05629569959102739,1817,0.05629569959102739,0.13314244201457695,134650,0.4635494842947438,1.0963201591234302
2,32275,0.09999938032916915,3396,0.10522075910147173,5213,0.0807578503818686,0.1909967811005507,131254,0.5083404014701725,1.2022531546476518
3,32275,0.09999938032916915,5379,0.1666615027110767,10592,0.10939210542622849,0.2587183774137784,125875,0.5571514566716536,1.3176939988692469
4,32275,0.09999938032916915,7363,0.22813323005422154,17955,0.13907715664479747,0.32892516477552575,118512,0.6119875446034361,1.4473843786105667
5,32275,0.09999938032916915,9931,0.30769945778466307,27886,0.1728014078921277,0.40868488352495475,108581,0.6728447848502875,1.5913151164750452
6,32275,0.09999938032916915,13616,0.4218745158791634,41502,0.2143133781906626,0.5068629883986072,94965,0.7355868660970868,1.7397036075136623
7,32275,0.09999938032916915,17341,0.5372889233152595,58843,0.26045253755654507,0.6159846512449899,77624,0.8016854976968996,1.8960305257144197
8,32275,0.09999938032916915,21446,0.6644771494965144,80289,0.3109554184530656,0.7354267567731674,56178,0.8702886090068318,2.0582806768975135
9,32275,0.09999938032916915,25998,0.8055151045701007,106287,0.3659063055123315,0.8653886427980099,30180,0.9350601065807411,2.211468849752302
10,32276,0.10000247868332342,30180,0.9350601065807411,136467,0.42282309637120763,1.0,0,0.0,0.0
