final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,244848,5426,0.022161,blue_customer_flag,B2,0.9172623339900516,0.6789608382416428,0.8757031998595891,0.5893900308625747,0.8003083673278798,0.521122530077323,0.8811802676376188,0.6032086588383796,0.8898674801169002,0.6232710299604919
DEV-OOS,234557,6206,0.026458,blue_customer_flag,B2,0.8859834289403286,0.6143381754685249,0.8830765482292764,0.6021154024509913,0.8131048572005822,0.5417316106797623,0.8889282921364083,0.6173938839593602,0.8957945969482701,0.6324009992515197
OOT,87332,1850,0.021184,blue_customer_flag,B2,0.8796843432187714,0.611051632807792,0.8718533401206542,0.585790006197119,0.8079610782987011,0.5358446420215255,0.8757766231171158,0.5980380759786951,0.8851949675512532,0.6135297521147174
OOT-OOS,84226,2159,0.025633,blue_customer_flag,B2,0.8992539918679285,0.6451456904192534,0.8861612679676667,0.6139039346994654,0.8297480332457126,0.584557039662891,0.8945738271567703,0.6288239176551895,0.9024497251432395,0.6474873587088686
DEV,12898,3730,0.289192,blue_customer_flag,E2,0.826726631622288,0.5051622030702432,0.743771767050994,0.36501068788484453,0.7326712946067216,0.35704104262874947,0.7077554695432066,0.3012772599881158,0.7656909567723612,0.39616395061035237
DEV-OOS,15932,4778,0.2999,blue_customer_flag,E2,0.765808739671315,0.40020117157316504,0.7342521223169343,0.3493976046531695,0.7199183556244766,0.34290986728440437,0.7061381347613114,0.30676315666817006,0.7580025801119274,0.38255165534039864
OOT,2771,838,0.302418,blue_customer_flag,E2,0.7544865154513924,0.37660060721521815,0.7069890012781872,0.3220652980069748,0.6992361657285162,0.3284536754547015,0.6992590072932499,0.3041391384655654,0.744948618826141,0.38176712222212617
OOT-OOS,4530,1441,0.318102,blue_customer_flag,E2,0.7434987348494771,0.36945136073043766,0.7151372632915585,0.3325111798156021,0.7140613791769455,0.3335048207817626,0.695104228049251,0.29220877106627824,0.7366262817469883,0.3591028046285436
DEV,107305,46578,0.434071,blue_customer_flag,E3,0.8798745692112186,0.5959315888673715,0.7989400332428134,0.4511564325452299,0.8083336485663881,0.46832192893924957,0.7883322427609553,0.43361182887719657,0.8202825326694099,0.48455104332284443
DEV-OOS,114334,52141,0.456041,blue_customer_flag,E3,0.8252554761142232,0.49265414049400696,0.8009124036996673,0.45414556529637606,0.810252648375769,0.4713263744219841,0.7912894207192085,0.4387870484159111,0.8226991307726135,0.4877368318822917
OOT,31578,13012,0.412059,blue_customer_flag,E3,0.805026887236962,0.4649224761213631,0.778123920547458,0.41917881451435923,0.7867727414355029,0.4379764182576237,0.777161106003825,0.4147357460439156,0.8030373664806927,0.45856157305751355
OOT-OOS,33404,13949,0.417585,blue_customer_flag,E3,0.8012243853628481,0.45332817668446307,0.7727873743566096,0.4061719388284506,0.7834601666654415,0.42893205024383074,0.7692739783665793,0.4068215750665967,0.7974706699934679,0.4419873556714543
DEV,8499,2358,0.277444,zc_level,1,0.9136775733508243,0.6566660990058477,0.8432853604540478,0.5314287148297995,0.8318024142829757,0.519944377206734,0.8302133741717642,0.5050629544135214,0.853455597253074,0.5469679246776246
DEV-OOS,8342,2392,0.286742,zc_level,1,0.859845844692392,0.5620436468901943,0.8455057790550784,0.5305429905591058,0.835741969028414,0.5308198195666226,0.8300009134088419,0.5088693403782918,0.8558521401871786,0.5526613923161238
OOT,2869,714,0.248867,zc_level,1,0.8369078489864623,0.5131048242963079,0.8177503948215017,0.48066446996431983,0.8119401821053248,0.49465252458291903,0.8002502160957191,0.4551671248545822,0.8319529203792886,0.518276823490417
OOT-OOS,3019,809,0.26797,zc_level,1,0.8529014648552203,0.5462601166738446,0.8343013272628628,0.5097936673956451,0.8217580499918897,0.5052687805178171,0.8250921477272091,0.5065826197361135,0.8465861993746817,0.5221557254640945
DEV,27288,7886,0.288991,zc_level,2,0.9162032849666348,0.6649860109696879,0.8604118743218867,0.5559773786551039,0.8607856817133064,0.564824663735313,0.8494577357014813,0.5430121866219438,0.872395355337108,0.5727121480060035
DEV-OOS,27186,8311,0.305709,zc_level,2,0.873477553485726,0.5806636222161485,0.8603932787432846,0.5562919518757068,0.8578552028550548,0.5640100207853359,0.85139346959786,0.5477080865461158,0.8720053419986756,0.5755054061440954
OOT,9703,2725,0.280841,zc_level,2,0.8615562409775414,0.5639202631599707,0.8457986437059065,0.5385977423146402,0.8405652101887715,0.533362362970384,0.837502083875667,0.5292799124903694,0.8601215879001107,0.5618803526680183
OOT-OOS,9912,2893,0.291868,zc_level,2,0.8686528939990891,0.5727546489167445,0.847358770080459,0.5366577519564552,0.8433210789715161,0.5309879110903706,0.8433609687241195,0.5297099123622135,0.8640071659724454,0.5592012929007518
DEV,43674,10862,0.248706,zc_level,3,0.918773376424813,0.6692422797655685,0.876373734499736,0.5875627450899442,0.8727930827836181,0.58582426349356,0.8677159279696411,0.5788168943495193,0.8860870939183546,0.6046089826660279
DEV-OOS,44672,12113,0.271154,zc_level,3,0.8882799475065071,0.6096678013866511,0.8749279715965278,0.5862046465319084,0.8710869361934844,0.5847020968014879,0.8678021754698726,0.5722176705612736,0.8858804170978514,0.6045931205464401
OOT,14883,3700,0.248606,zc_level,3,0.8796100258355467,0.5919713078006916,0.8628774884437559,0.5645881925547752,0.8620362591868449,0.5696042255257135,0.8580319790415472,0.5580493316351315,0.8772719451097345,0.5874288676586807
OOT-OOS,15823,4122,0.260507,zc_level,3,0.8656154786075381,0.5698464170382183,0.8508624066631357,0.5473517774246814,0.8442500943447085,0.5320662113238532,0.8439406390700256,0.5297428930399501,0.863787763114753,0.5638645407043137
DEV,46147,13754,0.298048,zc_level,4,0.9192914710877674,0.6724133621592505,0.8727949216346957,0.576496549960485,0.8756110737416959,0.5850517470502168,0.8659215224759328,0.5654880826175332,0.8863663928149466,0.6013856871518131
DEV-OOS,48449,15532,0.320585,zc_level,4,0.881783122239783,0.5904261552309854,0.8669844464124337,0.5654058061691909,0.8689232547143075,0.5694684574227556,0.8603352049169846,0.5531076879297887,0.88008892671319,0.5854911960612099
OOT,14725,3966,0.269338,zc_level,4,0.8798606352715436,0.5943464189546455,0.8634007086559135,0.568642562232571,0.8667184946733486,0.5686721674532869,0.8622555946195136,0.5623034664431101,0.8777255852176346,0.5918543515410313
OOT-OOS,15821,4474,0.282789,zc_level,4,0.8693183324634024,0.5716602597485687,0.8506258280145056,0.5438120850554653,0.8560753728320103,0.5508286473481228,0.8485423983913164,0.5364121773426945,0.8663618342796994,0.5690315960071132
DEV,40278,3390,0.084165,zc_level,5,0.9484634985340301,0.7618989219699718,0.9214857776857256,0.6957795562601792,0.8994398471124538,0.667532205182291,0.9203974448046195,0.6961067992468952,0.9292537476113617,0.7247335632567753
