split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.024262
DEV,ks,gcard_v2,0.051517
DEV,auc,gcard_v4,0.02888
DEV,ks,gcard_v4,0.058128
DEV,auc,gcard_v5,0.027403
DEV,ks,gcard_v5,0.056661
DEV,auc,gcard_v6,0.017049
DEV,ks,gcard_v6,0.035545
DEV-OOS,auc,gcard_v2,0.007708
DEV-OOS,ks,gcard_v2,0.019002
DEV-OOS,auc,gcard_v4,0.012279
DEV-OOS,ks,gcard_v4,0.027596
DEV-OOS,auc,gcard_v5,0.010227
DEV-OOS,ks,gcard_v5,0.021618
DEV-OOS,auc,gcard_v6,0.000227
DEV-OOS,ks,gcard_v6,0.002373
OOT,auc,gcard_v2,0.00766
OOT,ks,gcard_v2,0.018989
OOT,auc,gcard_v4,0.012613
OOT,ks,gcard_v4,0.027124
OOT,auc,gcard_v5,0.008901
OOT,ks,gcard_v5,0.023181
OOT,auc,gcard_v6,0.000228
OOT,ks,gcard_v6,0.002143
OOT-OOS,auc,gcard_v2,0.009283
OOT-OOS,ks,gcard_v2,0.021263
OOT-OOS,auc,gcard_v4,0.013945
OOT-OOS,ks,gcard_v4,0.033563
OOT-OOS,auc,gcard_v5,0.010524
OOT-OOS,ks,gcard_v5,0.025388
OOT-OOS,auc,gcard_v6,0.000989
OOT-OOS,ks,gcard_v6,0.002764
