intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,316,0.000325,0,0.0
低意愿,2,798,0.00082,0,0.0
低意愿,3,3803,0.003906,6,0.001578
低意愿,4,7280,0.007477,12,0.001648
低意愿,5,20443,0.020995,34,0.001663
低意愿,6,157861,0.162122,367,0.002325
低意愿,7,134071,0.13769,363,0.002708
中意愿,1,7535,0.007738,236,0.031321
中意愿,2,24817,0.025487,805,0.032437
中意愿,3,45661,0.046894,1347,0.0295
中意愿,4,37551,0.038565,1115,0.029693
中意愿,5,67750,0.069579,1362,0.020103
中意愿,6,123459,0.126792,2596,0.021027
中意愿,7,17798,0.018278,483,0.027138
高意愿,1,14878,0.01528,6037,0.405767
高意愿,2,48474,0.049783,21010,0.433428
高意愿,3,69588,0.071466,29444,0.423119
高意愿,4,80311,0.082479,36599,0.455716
高意愿,5,19498,0.020024,7934,0.406914
高意愿,6,72778,0.074743,32774,0.450328
高意愿,7,19045,0.019559,9584,0.503229
