intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,316,0,0.0
低意愿,2,798,0,0.0
低意愿,3,3803,0,0.0
低意愿,4,7280,0,0.0
低意愿,5,20443,1,4.9e-05
低意愿,6,157861,3,1.9e-05
低意愿,7,134071,1,7e-06
中意愿,1,7535,1,0.000133
中意愿,2,24817,11,0.000443
中意愿,3,45661,20,0.000438
中意愿,4,37551,24,0.000639
中意愿,5,67750,20,0.000295
中意愿,6,123459,22,0.000178
中意愿,7,17798,2,0.000112
高意愿,1,14878,136,0.009141
高意愿,2,48474,686,0.014152
高意愿,3,69588,946,0.013594
高意愿,4,80311,1128,0.014045
高意愿,5,19498,214,0.010975
高意愿,6,72778,840,0.011542
高意愿,7,19045,164,0.008611
