final_flag,n_samples,positive,bad_rate,segment,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks,ks_uplift_vs_gcard_v2,ks_uplift_vs_gcard_v4,ks_uplift_vs_gcard_v5,ks_uplift_vs_gcard_v6
DEV,365051,55734,0.152675,全客群,0.95348294315833,0.7651539174791273,0.9292208260205501,0.7136370327558772,0.9246031120607758,0.707026064378672,0.9260800577324911,0.7084929862207363,0.9364342470676208,0.7296092953841975,0.051517,0.058128,0.056661,0.035545
DEV-OOS,364823,63125,0.173029,全客群,0.9337692615702715,0.7219671364761916,0.9260616762859801,0.7029652053085593,0.9214902975600452,0.6943712704701916,0.9235418674329696,0.7003486911736339,0.9335425779986268,0.7195937848017843,0.019002,0.027596,0.021618,0.002373
OOT,121681,15700,0.129026,全客群,0.9357900839334439,0.7363096618027375,0.9281304265862041,0.7173208865368634,0.9231770478143638,0.7091854677615197,0.9268891305297663,0.7131283278333089,0.9355616338393068,0.7341663506924718,0.018989,0.027124,0.023181,0.002143
OOT-OOS,122160,17549,0.143656,全客群,0.9306553026728805,0.7190086524672934,0.9213720818800136,0.6977453304465322,0.9167101587724888,0.685445584942804,0.9201311500172812,0.6936208025525775,0.9296665096302585,0.7162446623622785,0.021263,0.033563,0.025388,0.002764
DEV,120203,50308,0.418525,老户次新,0.8765521508901547,0.5897880197549586,0.7974956725712985,0.4505153254083945,0.8047597036179447,0.4650299578446828,0.7854975002173178,0.42936179334597824,0.8178596173488757,0.480672776847776,0.139273,0.124758,0.160426,0.109115
DEV-OOS,130266,56919,0.436944,老户次新,0.8227028066787742,0.49090277407808325,0.7987750064238819,0.45247892180285604,0.8054265192279647,0.46703030823525205,0.7882102941092568,0.43496342553677214,0.8194193682911463,0.48284999936882583,0.038424,0.023872,0.055939,0.008053
OOT,34349,13850,0.403214,老户次新,0.8028408007223387,0.4607522001161279,0.7759419726029553,0.4167470598963851,0.7830836090798123,0.43233115007987527,0.7740585496554115,0.4093355051395481,0.8003693585123374,0.4540294384352288,0.044005,0.028421,0.051417,0.006723
OOT-OOS,37934,15390,0.405705,老户次新,0.7970217306040118,0.4476405680829311,0.7694762825454559,0.4031827799078793,0.7783866657581842,0.42227500183310573,0.7641724121273665,0.3989575623336658,0.7927312687720406,0.4376358342890847,0.044458,0.025366,0.048683,0.010005
DEV,107305,46578,0.434071,老户,0.8798745692112186,0.5959315888673715,0.7989400332428134,0.4511564325452299,0.8083336485663881,0.46832192893924957,0.7883322427609553,0.43361182887719657,0.8202825326694099,0.48455104332284443,0.144775,0.12761,0.16232,0.111381
DEV-OOS,114334,52141,0.456041,老户,0.8252554761142232,0.49265414049400696,0.8009124036996673,0.45414556529637606,0.810252648375769,0.4713263744219841,0.7912894207192085,0.4387870484159111,0.8226991307726135,0.4877368318822917,0.038509,0.021328,0.053867,0.004917
OOT,31578,13012,0.412059,老户,0.805026887236962,0.4649224761213631,0.778123920547458,0.41917881451435923,0.7867727414355029,0.4379764182576237,0.777161106003825,0.4147357460439156,0.8030373664806927,0.45856157305751355,0.045744,0.026946,0.050187,0.006361
OOT-OOS,33404,13949,0.417585,老户,0.8012243853628481,0.45332817668446307,0.7727873743566096,0.4061719388284506,0.7834601666654415,0.42893205024383074,0.7692739783665793,0.4068215750665967,0.7974706699934679,0.4419873556714543,0.047156,0.024396,0.046507,0.011341
DEV,12898,3730,0.289192,次新,0.826726631622288,0.5051622030702432,0.743771767050994,0.36501068788484453,0.7326712946067216,0.35704104262874947,0.7077554695432066,0.3012772599881158,0.7656909567723612,0.39616395061035237,0.140152,0.148121,0.203885,0.108998
DEV-OOS,15932,4778,0.2999,次新,0.765808739671315,0.40020117157316504,0.7342521223169343,0.3493976046531695,0.7199183556244766,0.34290986728440437,0.7061381347613114,0.30676315666817006,0.7580025801119274,0.38255165534039864,0.050804,0.057291,0.093438,0.01765
OOT,2771,838,0.302418,次新,0.7544865154513924,0.37660060721521815,0.7069890012781872,0.3220652980069748,0.6992361657285162,0.3284536754547015,0.6992590072932499,0.3041391384655654,0.744948618826141,0.38176712222212617,0.054535,0.048147,0.072461,-0.005167
OOT-OOS,4530,1441,0.318102,次新,0.7434987348494771,0.36945136073043766,0.7151372632915585,0.3325111798156021,0.7140613791769455,0.3335048207817626,0.695104228049251,0.29220877106627824,0.7366262817469883,0.3591028046285436,0.03694,0.035947,0.077243,0.010349
DEV,244848,5426,0.022161,流失户,0.9172623339900516,0.6789608382416428,0.8757031998595891,0.5893900308625747,0.8003083673278798,0.521122530077323,0.8811802676376188,0.6032086588383796,0.8898674801169002,0.6232710299604919,0.089571,0.157838,0.075752,0.05569
DEV-OOS,234557,6206,0.026458,流失户,0.8859834289403286,0.6143381754685249,0.8830765482292764,0.6021154024509913,0.8131048572005822,0.5417316106797623,0.8889282921364083,0.6173938839593602,0.8957945969482701,0.6324009992515197,0.012223,0.072607,-0.003056,-0.018063
OOT,87332,1850,0.021184,流失户,0.8796843432187714,0.611051632807792,0.8718533401206542,0.585790006197119,0.8079610782987011,0.5358446420215255,0.8757766231171158,0.5980380759786951,0.8851949675512532,0.6135297521147174,0.025262,0.075207,0.013014,-0.002478
OOT-OOS,84226,2159,0.025633,流失户,0.8992539918679285,0.6451456904192534,0.8861612679676667,0.6139039346994654,0.8297480332457126,0.584557039662891,0.8945738271567703,0.6288239176551895,0.9024497251432395,0.6474873587088686,0.031242,0.060589,0.016322,-0.002342
