feature_name,dtype,category
max_ctn_ovd_day,float32,feature
not_ovd_tqhk_rep_tim_cnt_12m,float32,feature
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,float32,feature
ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,float32,feature
max_con_not_ovd_tqhk_rep_tim_cnt_5m,float32,feature
max_con_not_ovd_tqhk_rep_tim_cnt_12m,float32,feature
not_ovd_tqhk_rep_tim_cnt_3m,float32,feature
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,float32,feature
d30_d60_his_rep_amt_sum_rat_btch,float32,feature
d90_d360_his_rep_amt_sum_rat_btch,float32,feature
lag_his_rep_amt_sum_per_mth_all_rat_max,float32,feature
lag_his_rep_amt_sum_per_mth_btch_rat_max,float32,feature
m6_up_flg_btch_cnt_rat,float32,feature
d30_d180_his_rep_amt_sum_rat_all,float32,feature
d30_his_rep_amt_sum_btch,float32,feature
d180_d360_his_rep_amt_sum_rat_all,float32,feature
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,float32,feature
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,float32,feature
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,float32,feature
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,float32,feature
min_rsk_avl_lmt_bjq_12m_all,float32,feature
max_rsk_lmt_rate_bjq_12m_all,float32,feature
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,float32,feature
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,float32,feature
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,float32,feature
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,float32,feature
min_rsk_lmt_rate_bjq_12m_all,float32,feature
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,float32,feature
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,float32,feature
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,float32,feature
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,float32,feature
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,float32,feature
max_rsk_avl_lmt_bjq_12m_all,float32,feature
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_d0_evn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_d0_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_0d_pls_3d_mrn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_14d_pls_30d_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_d0_afn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_3m_his_d0_afn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_ovd_3d_pls_7d_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_6m_his_ovd_7d_pls_14d_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_3d_pls_7d_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_6m_his_ovd_14d_pls_30d_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_mrn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_ovd_7d_pls_14d_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_d0_mrn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_his_d0_evn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_7d_pls_14d_afn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_3m_his_ovd_m2_pls_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_3m_his_ovd_3d_pls_7d_mrn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_3m_his_d0_dwn_zd_rto_v2,float32,feature
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_mrn_pk_rto_v2,float32,feature
stg_pln_sum_rep_prc_1m_his_d0_dwn_zd_rto_v2,float32,feature
